#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3584.4879151891982    All      -0.1814593152913408        0.08563022576311141        -0.04971674316758268       0.08478122059950924        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4348.604612363001     All      -0.5093708916623093        0.3902255877111571         -0.007421547285424435      0.2926969796076102         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5332.172633099887     All      0.41056545275240663        0.28712928655956205        0.352220224163291          -0.024489249342825314      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7775.639337608306     All      0.1198999142563651         -0.029256850291492498      -0.04228751809740583       -0.05047236303817662       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6325.701813802008     All      0.6732791035083934         -0.028813888200929227      0.1032401457758847         -0.22408765203193043       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5312.863806138562     All      0.23454739758317572        0.16270936876221498        0.03457841764585856        -0.021856933421328384      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4313.436499369963     All      -0.3691743514071211        0.223938803211432          -0.2124796395290618        0.18371447687396472        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7841.511071726582     All      0.20093324298167073        -0.02965893565640698       0.05958745689327305        -0.07245234431390857       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6449.554428953732     All      0.41636724547727155        -0.06475361711615335       -0.23717093326626193       -0.16730074281788368       
Check         All|All|All                                     All                   All      0.9955877981985121         0.9971499807424955         0.0005498631325706604      0.0005333921150311172      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3584.4879151891982    All      -0.0005243894320186031     0.00022639291828552822     -0.00027117162659793555    0.0002324533672508841      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4348.604612363001     All      -0.0002727274964842439     8.081437348487832e-05      -0.0005167958354263196     9.209799365332784e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5332.172633099887     All      8.237057323230712e-05      2.391293768610733e-05      -0.0004054157609014931     -3.7133418498275034e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7775.639337608306     All      -8.813821027877997e-06     3.3808007300992407e-06     1.704864587035698e-05      4.7329922613081904e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6325.701813802008     All      -0.00020008261688965966    -1.1920665176286669e-05    -0.00031129281115539796    4.7398969571688435e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5312.863806138562     All      7.908262726682769e-05      2.678806093993172e-05      -0.00030415980581229604    -3.0607315870742845e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4313.436499369963     All      -0.0002047297300878282     9.947171123215459e-05      -0.00022923966501855097    8.885850397799391e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7841.511071726582     All      2.272709372046919e-06      4.884076834462456e-06      5.468527199001208e-05      3.2909608224909427e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6449.554428953732     All      -0.00011382017519931739    -4.78184020044278e-06      -0.00014039820044705765    2.9252046103461798e-05     
MWEBV         All|All|All                                     All                   All      -0.9477739368789075        -3.9788348279381935        -0.021137722488429045      -0.9882595306319873        
Redshift      All|All|All                                     All                   All      4.817972827858082          -0.7737593899401318        -2.219299347057213         -1.9204482828485512        
