#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3584.4879151891982    All      -0.19687763640930778       0.0944639801605085         -0.04429751986818297       0.09292275451070854        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B                  4348.604612363001     All      -0.4983839402426716        0.387124116334725          0.00821246702899742        0.28880559106200954        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V                  5332.172633099887     All      0.41000095965763905        0.29089723233983733        0.3460262604107805         -0.023354439622646512      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7775.639337608306     All      0.12494294592277985        -0.029068627946315928      -0.03240981697917515       -0.05161293771832012       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R                  6325.701813802008     All      0.6710600174907503         -0.031346584638924924      0.07613066313911733        -0.22539957696404433       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5312.863806138562     All      0.22650671666809133        0.15163161791775792        -0.008435800577412217      -0.024765734016103873      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4313.436499369963     All      -0.3636797908831706        0.2259647806006626         -0.183912117673544         0.1838594825285204         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I                  7841.511071726582     All      0.1872821004583112         -0.02716866044512045       0.0540591859434825         -0.06744125486292331       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6449.554428953732     All      0.43472484585944715        -0.06534478189674786       -0.21510439173954773       -0.17248825062687723       
Check         All|All|All                                     All                   All      0.9955762185218687         0.9971530724263822         0.00026892968451561194     0.0005256342903231515      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3584.4879151891982    All      -0.0004712729837199938     0.00021346738630802852     -0.00014580836386059835    0.00021653570820166787     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B                  4348.604612363001     All      -0.0002582760310655117     5.968791823725873e-05      -0.0005664418867155516     7.82936191605016e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V                  5332.172633099887     All      9.257945607351459e-05      1.4606903459033706e-05     -0.0003668207572719411     -4.1767751257569e-05       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7775.639337608306     All      -1.092542632756556e-05     3.867020669887014e-06      1.4658070026075705e-05     5.472508987304543e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R                  6325.701813802008     All      -0.00019481378653840673    -3.2103897962755255e-06    -0.000243971072094357      5.152422145446394e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5312.863806138562     All      7.148773560132995e-05      2.5116015113972345e-05     -0.0003020582491760925     -2.8584267304391623e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4313.436499369963     All      -0.00019425405794898208    9.685493541503221e-05      -0.00021332676803254353    8.530398245718432e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I                  7841.511071726582     All      -3.4699473118048395e-06    4.089181933200591e-06      4.1697761245444316e-05     4.323036656557428e-06      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6449.554428953732     All      -0.00011956280608732661    -1.7747628517265952e-06    -0.00012751284722807059    3.267712806689067e-05      
MWEBV         All|All|All                                     All                   All      -0.9427649279709902        -3.9808840136588586        -0.02339996298183294       -0.9906595702333484        
Redshift      All|All|All                                     All                   All      4.946344513348711          -0.5591284722281209        -1.5753410904344851        -1.863613913669823         
