#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5201.562081571849     All      1.1788607519973153         0.38969380710174306       4.7923183104880485        -0.04319848089860247      
Zeropoint     AB|PS|PS_i                6300.218217939826     All      -0.8606857133337082        -0.14563868543415737      -11.157034684510855       -0.2649728742275037       
Zeropoint     AB|PS|PS_g                4095.9371165497073    All      -0.9581363060746229        0.6773815363573021        -0.5328839808843939       0.5089618035995971        
Zeropoint     AB|PS|PS_z                7240.488028658603     All      1.664389878424517          0.07706094509778438       7.047478854288738         -0.202548641788005        
Check         All|All|All               All                   All      1.0244286110135012         0.9984976031226722        0.14987849938153808       -0.0017581933145140727    
Lambda        AB|PS|PS_r                5201.562081571849     All      0.00017492311699589177     3.452487937895022e-05     0.000890678502940176      -5.985434108839554e-06    
Lambda        AB|PS|PS_i                6300.218217939826     All      0.0004039761775856352      3.373609757118184e-05     0.004124836118150688      6.347311666846607e-05     
Lambda        AB|PS|PS_g                4095.9371165497073    All      -0.00044441887910305253    0.00040476922886991746    0.0002258648006093249     0.00028668781291740964    
Lambda        AB|PS|PS_z                7240.488028658603     All      -0.000623571383828028      -3.376324577375703e-05    -0.0027139628853465247    7.100821588332155e-05     
MWEBV         All|All|All               All                   All      -0.38598639711708005       -3.2579682696042056       0.8878757683875194        -0.8958771635889367       
Redshift      All|All|All               All                   All      3.7031876691351697         -0.3237919977642889       -12.919998661944703       -1.8882799620800923       
