#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4644.991355692705    All      0.74955142014726           0.4500568746157896         0.2577120258247947        -0.08605472247344415      
Zeropoint     AB|SDSS|SDSS_i            5632.863880583048    All      1.178859683217823          0.21842942189671533        -0.12412330810212249      -0.3183827864922145       
Zeropoint     AB|SDSS|SDSS_g            3554.746766340675    All      -1.0873178696194425        0.2971435394414357         -0.36020660953031175      0.4348902617443731        
Zeropoint     AB|SDSS|SDSS_z            6697.005606069593    All      0.1555490930900475         0.033205297330596295       0.23379881446029044       -0.029418031979932053     
Check         All|All|All               All                  All      0.996642326835688          0.9988351332845369         0.007180922652650884      0.0010347207987824007     
Lambda        AB|SDSS|SDSS_r            4644.991355692705    All      -0.00019820477633354086    -0.00011748496277636276    -0.0007194500298113712    -5.812651637452692e-06    
Lambda        AB|SDSS|SDSS_i            5632.863880583048    All      -0.00025375034040044407    -3.601153820271511e-05     0.00025377880113106586    8.224967360022313e-05     
Lambda        AB|SDSS|SDSS_g            3554.746766340675    All      -0.0023168415945909906     0.00032101225861722206     -0.0035861663627719006    0.0006992016486998249     
Lambda        AB|SDSS|SDSS_z            6697.005606069593    All      -6.850970375939579e-05     -1.4057605836068966e-05    -9.303388523554389e-05    1.3585164705556127e-05    
MWEBV         All|All|All               All                  All      -0.5705690538106656        -2.739815039141469         0.23247042479618873       -0.696220696134764        
Redshift      All|All|All               All                  All      9.542324530096892          0.7770686139769722         3.575632917189954         -2.6955681454283047       
