#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4644.991355692705    All      0.9180554303308159         0.49161030975124476        0.7085796966779023         -0.10728654792661191      
Zeropoint     AB|SDSS|SDSS_i            5632.863880583048    All      1.2728071156747163         0.2907938753242689         0.8325799393849698         -0.28271980086472526      
Zeropoint     AB|SDSS|SDSS_g            3554.746766340675    All      -1.2935600371445164        0.18837413746215503        -1.8185295119429234        0.401562094941528         
Zeropoint     AB|SDSS|SDSS_z            6697.005606069593    All      0.10292660128001477        0.028343826551235907       0.2929939426959516         -0.01121908943955488      
Check         All|All|All               All                  All      1.0002291101410306         0.9991221490889046         0.015624066815900228       0.0003366567106359575     
Lambda        AB|SDSS|SDSS_r            4644.991355692705    All      -0.00020305520615033644    -0.00011063117157288294    -0.00017809233258810699    2.2158105867388553e-05    
Lambda        AB|SDSS|SDSS_i            5632.863880583048    All      -0.00020550845305357466    -2.6358376606903775e-05    0.0003209949195787321      7.267960274558867e-05     
Lambda        AB|SDSS|SDSS_g            3554.746766340675    All      -0.002473438117767725      0.0001334751856267655      -0.00567342376642325       0.0005959785822131938     
Lambda        AB|SDSS|SDSS_z            6697.005606069593    All      -8.839099867225786e-05     -1.9376501424132117e-05    -0.00011295106419989395    1.7439805033465888e-05    
MWEBV         All|All|All               All                  All      -0.5663581314555199        -2.72514898831151          0.4306035105896777         -0.6839733472003923       
Redshift      All|All|All               All                  All      9.016038019511063          0.9135662606265527         1.7007217851488177         -2.563346213133265        
