#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.6002074705872226         0.599107149044098          0.5583512343674927         0.024558240249257964       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      2.0884269396995343         -0.46953334886721265       0.1133698644716116         -0.828152644017634         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.5308610781447725        -0.2721603181191412        -0.13262674856397472       0.07834882588676442        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -1.1531234745433303        1.1189766020555325         -0.5566297726061488        0.7152579145771403         
Check         All|All|All                      All                  All      1.004649857598654          0.9763900841132767         -0.017535422331019235      -0.009987663304471317      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.0003294559608183564      0.0004004936742888403      -0.0007584924882618455     -1.0708715772439396e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      -0.0006778156863784062     0.0005866556425397794      -0.0011886921502482482     0.00035883404049973143     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.00040946181683491954    -0.00028780330358428455    -0.00020585791849843965    3.044168678056963e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.0005988297579814047     5.573826125771649e-05      -0.002762920940172715      8.991786659135479e-05      
MWEBV         All|All|All                      All                  All      -0.8115955076883932        -3.802920738004456         0.00952244988850293        -0.9739480959874065        
Redshift      All|All|All                      All                  All      2.904360240354887          -4.644361899239691         16.96307350188084          -1.7018830846374275        
