#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.783161548153854         0.5639428553690706        0.15438923748760658        -0.0645170577358245        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      1.8194822987612322        -0.21489660370939134      0.6140776246479129         -0.6352606735810618        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.746845532010603        0.12267762606334998       -0.20090804755208413       0.2742666956219275         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.8536516029072948       0.5173682884495712        -0.5355731010606046        0.422686116127545          
Check         All|All|All                      All                  All      1.0021467119971885        0.9890921661726004        0.03198571352283075        -0.002824919567413764      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      -4.361362730587489e-05    0.00013730631707917551    -0.002162407925056035      -3.7566756139291994e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      -0.0007954237481844739    0.00012125228388027904    -0.0018193494022539407     0.0002174023335361443      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.0003821870637315411    1.16399559855146e-05      -0.00014020992733383992    0.00012202549174994125     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.0002288145215958424    -0.000350675175764676     -0.002382019136478832      -0.00014599259800209566    
MWEBV         All|All|All                      All                  All      -0.8221339624633202       -3.789138261738856        -0.0009213463525448162     -0.9664920272722588        
Redshift      All|All|All                      All                  All      7.957731883144025         -3.549474178525358        32.97812165747129          -2.2766134835816993        
