#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           4187.040137407351    All      1.2872050064438039        0.6587601383582609         -1.2409409707791281       -0.26008266484764936      
Zeropoint     AB|MEGACAMPSF|r           3418.844548865946    All      -1.5930513935100867       0.003990845488033301       0.26260534519631984       0.5319280688241095        
Zeropoint     AB|MEGACAMPSF|z           4821.435915171317    All      1.3036397209360835        0.33609380778365505        0.9792949313297253        -0.27146010018249384      
Check         All|All|All               All                  All      0.9977933338698004        0.9988447916299492         0.0009593057469170496     0.0003853037939662851     
Lambda        AB|MEGACAMPSF|i           4187.040137407351    All      5.2595023726281255e-05    5.180898207005964e-05      -0.0014181206780497784    -6.354025229610465e-05    
Lambda        AB|MEGACAMPSF|r           3418.844548865946    All      -0.0030554110065735764    -0.00012659886268159872    -0.0003508483336459733    0.0009383537205806122     
Lambda        AB|MEGACAMPSF|z           4821.435915171317    All      -0.0002544843914718751    -8.256898706823363e-05     -0.0005256156927820171    3.254268875977367e-05     
MWEBV         All|All|All               All                  All      -0.36580010459576484      -1.7291288784523573        0.12406146922751089       -0.4385447402516038       
Redshift      All|All|All               All                  All      2.3346877526074508        -0.11059559656558804       2.9881404502000772        -0.6631622499985759       
