#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8517.0523977968      All      0.39169387097391184        -0.09958055242433872       0.13991066722623366        -0.15378067165741255       
Zeropoint     AB|PS|PS_r                6118.645127757773    All      1.1711941975477083         -0.05237324526392584       -0.33568477499684723       -0.4135362400606522        
Zeropoint     AB|PS|PS_i                7411.004405691778    All      0.5399943543050414         -0.11959473015270561       0.18645467685131709        -0.20652924877169923       
Zeropoint     AB|PS|PS_g                4818.088352836841    All      -1.1037140090034816        1.2707166479730247         0.012881983354973836       0.774005045177895          
Check         All|All|All               All                  All      0.9991684138231799         0.9991681201320546         0.0035625524356773467      0.00015888468813107792     
Lambda        AB|PS|PS_z                8517.0523977968      All      0.00034344515373459325     -0.00010049523548192959    3.312760103248016e-05      -0.0001431276572882974     
Lambda        AB|PS|PS_r                6118.645127757773    All      -0.00012246459369176052    -9.217404822616792e-06     -0.00036124403359286025    2.076767305111462e-05      
Lambda        AB|PS|PS_i                7411.004405691778    All      -7.56912294246805e-05      -3.391497673132822e-05     -0.0007069137896916767     -1.7938415796223925e-05    
Lambda        AB|PS|PS_g                4818.088352836841    All      -0.00037222275528651976    9.317944425001496e-05      -0.0010661185883358436     0.00010402083157476357     
MWEBV         All|All|All               All                  All      -0.691528800245337         -4.094937075156668         0.05917726488122981        -1.1059612344047567        
Redshift      All|All|All               All                  All      4.245136579422493          1.3924173825619945         3.509727830576785          -0.7726014606096023        
