#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8517.0523977968      All      0.3581797107215489         -0.11636176558473821       0.048422915459456206      -0.15241287846525786       
Zeropoint     AB|PS|PS_r                6118.645127757773    All      1.1207716273063915         -0.07358553235325971       -0.2615874542417629       -0.4007148667396654        
Zeropoint     AB|PS|PS_i                7411.004405691778    All      0.5949346814633941         -0.15641651044004945       0.24064803973606885       -0.2340007851659942        
Zeropoint     AB|PS|PS_g                4818.088352836841    All      -1.0729272637155305        1.307534283132572          -0.02100473234016853      0.774457295934039          
Check         All|All|All               All                  All      1.000958755775804          0.9611704747545247         0.006478768613593644      -0.012671234436878454      
Lambda        AB|PS|PS_z                8517.0523977968      All      0.0003724158073822194      -0.00012460971376956513    0.00015759865758046057    -0.00015486465962972687    
Lambda        AB|PS|PS_r                6118.645127757773    All      0.00031780342099687914     -8.663370932989961e-06     0.0001384461381770499     -0.00010016275928326165    
Lambda        AB|PS|PS_i                7411.004405691778    All      5.480932515409108e-05      -4.0315437167580933e-05    -0.0003252278955151399    -4.5498691859037844e-05    
Lambda        AB|PS|PS_g                4818.088352836841    All      -0.00044048210435763924    0.0004608886186092815      -0.0001605663359192439    0.00028644076056872454     
MWEBV         All|All|All               All                  All      -0.6833717792064125        -4.108315749508495         0.07916035334685212       -1.1120843654376433        
Redshift      All|All|All               All                  All      2.311205662592354          0.09071319343005868        0.06245539112765819       -0.7205003519797415        
