#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6135.913235240833    All      1.2452750309074105         -0.09588640525777237       0.1554688971490692        -0.42992253982272327      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4370.678226605461    All      -0.9410816977747342        0.8032885664713163         0.5282241568761559        0.5917710012176169        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5347.06740559967     All      0.07207823111808204        0.39209589302622305        -1.241555941286221        0.04883534135241979       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7518.377883751371    All      0.6206253748257279         -0.10109120290362483       0.559298304992395         -0.2101279185489885       
Check         All|All|All                                All                  All      0.9968969390764862         0.9984068513361422         0.0014354177313991023     0.000555884198324974      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6135.913235240833    All      -0.0001891439643059131     -3.0392119419535634e-05    -0.0005015947853795457    2.932682713009111e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4370.678226605461    All      -0.00012506975547128113    3.0414991469760676e-05     -0.0005850867338119319    2.4536763651077242e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5347.06740559967     All      -0.00015617530162394063    0.00010978058622765299     -0.0016346479545824757    1.3683751815568218e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7518.377883751371    All      -0.00012695325834131423    2.5803366452400102e-05     -9.66868120548828e-05     4.544316988345127e-05     
MWEBV         All|All|All                                All                  All      -0.8292433181542211        -4.041302649790168         0.08606046134029821       -1.0424329147988034       
Redshift      All|All|All                                All                  All      3.6873442516088746         -0.29399827858949124       2.6198140007018034        -1.1799439778834588       
