#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6135.913235240833    All      1.2760771101730068         -0.11082274726108565       0.14178786798703427       -0.44543156987617877       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4370.678226605461    All      -0.9677726499328039        0.7874389695325945         0.3459520431051161        0.5871684199904884         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5347.06740559967     All      0.07978565189818382        0.43435644086633474        -0.916873537742065        0.07457951605781368        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7518.377883751371    All      0.6096669625435437         -0.11274616818539585       0.43084697887127127       -0.21608700150605062       
Check         All|All|All                                All                  All      0.9977570746819304         0.9982264949524478         0.0017133522213566565     0.00022936466607270667     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6135.913235240833    All      -0.00023890727387416036    -9.349379699518532e-06     -0.0004001743625452751    5.691661449704858e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4370.678226605461    All      -3.8557216384299995e-05    -3.6614926636210294e-05    -0.0005103011374176083    -2.2139728364209335e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5347.06740559967     All      -0.00011899631408814577    6.62231730694205e-05       -0.0015054708407585952    -6.85016873822843e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7518.377883751371    All      -0.00014198724072179823    2.7896931731647455e-05     -0.0001055239096218981    5.062781655871194e-05      
MWEBV         All|All|All                                All                  All      -0.8246402704205229        -4.043515135144382         0.0701287322825694        -1.0453639180459764        
Redshift      All|All|All                                All                  All      3.7960702893627727         0.03363809880054802        1.863034922900942         -1.1424092528093797        
