#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                    dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    3831.3822875452124    All      -0.5273260898515999       0.14783496386723272        -3.0728396636795265      0.08279544618721088       
Zeropoint     ST|NICMOS2|F110W_faint       4938.275560391047     All      2.3032996981115095        0.7653722182318745         2.004546508261381        -0.41149987239342856      
Zeropoint     VEGAHST|ACSWF|F775W          3289.6851014124686    All      -0.7784748984021943       0.08513541082937337        1.0704676447616068       0.32907634415762477       
Check         All|All|All                  All                   All      0.9974987098577149        0.9983425929284806         0.0021744893434612056    0.00037191795140711914    
Lambda        VEGAHST|ACSWF|F850LP_3pix    3831.3822875452124    All      -0.0008045563716020147    8.462740213827281e-05      -0.003962002431191312    0.00011283043669937389    
Lambda        ST|NICMOS2|F110W_faint       4938.275560391047     All      -0.0007279898739908395    -0.00024127306887479903    -0.001319309787462103    9.966493948981511e-05     
Lambda        VEGAHST|ACSWF|F775W          3289.6851014124686    All      -0.001593514057659371     0.0001750578520221168      0.0021952896728195336    0.0006740477507680014     
MWEBV         All|All|All                  All                   All      -0.1564128324614923       -1.124531089391212         0.2466959828408801       -0.30433905774609743      
Redshift      All|All|All                  All                   All      2.207691354345966         0.09736684704861887        0.7296056525332424       -0.6548431703258283       
