#Format:      
#Parameter    MagSys|Instrument|Band       RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP_3pix    3831.3822875452124    All      -0.9817469776579699       0.13967187571370943       -3.390460324033384        0.21398234168700514        
Zeropoint     ST|NICMOS2|F110W_faint       4938.275560391047     All      2.536992887314087         0.7860988893394705        2.447789891362828         -0.4610901572827064        
Zeropoint     VEGAHST|ACSWF|F775W          3289.6851014124686    All      -0.5546100188215926       0.0739545923694962        0.9459450259051039        0.24695735496419804        
Check         All|All|All                  All                   All      1.000635890834524         0.9997253574226761        0.003274593234547929      -0.00015046063150322975    
Lambda        VEGAHST|ACSWF|F850LP_3pix    3831.3822875452124    All      -0.001246284482535484     5.5324694175179084e-05    -0.0037078709894711607    0.0002585116779000372      
Lambda        ST|NICMOS2|F110W_faint       4938.275560391047     All      -0.0006333397058094337    -0.0002040625313235493    -0.0008834193354614786    0.00010040675098620907     
Lambda        VEGAHST|ACSWF|F775W          3289.6851014124686    All      -0.0012257505207526015    0.00018680132371295442    0.0018178059397010286     0.0005412349375259274      
MWEBV         All|All|All                  All                   All      -0.13161966897048027      -1.1253620372835726       0.23632016142052237       -0.3131486990874531        
Redshift      All|All|All                  All                   All      2.229469027505408         0.02426168546882934       0.6034843080137797        -0.6913778475044596        
