#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5139.376107971656    All      3.665414150328042          0.20185241669565812       0.5171205376908905        -1.1051192898920952       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4291.751035061559    All      -2.6702863843944478        0.7997722667926865        -0.5232989533440646       1.1069598353677517        
Check         All|All|All                            All                  All      0.9951277659335944         1.0016246834883447        -0.0061784156531741186    0.0018405454756564854     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5139.376107971656    All      0.0010073408877478629      6.5788199303312616e-06    -0.0003549341723275207    -0.0003418202115395446    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4291.751035061559    All      -0.00041595281840005403    -7.717959063797314e-05    -0.001544562517834658     4.1422854338349425e-05    
MWEBV         All|All|All                            All                  All      -0.05371581067005682       -2.277029530475261        0.0004991677700183494     -0.724184147824336        
Redshift      All|All|All                            All                  All      3.7708327464371694         0.5734767954306719        -2.163990815138189        -1.138052994358446        
