#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4684.349488568149    All      -1.0806784539952372        1.1004888190281115         -0.11921728910984086      0.7051578190277852        
Zeropoint     AB|PS|PS_r                5948.805849121945    All      1.0515784790054135         0.06855221455426275        -0.5809929220887744       -0.3461310406440758       
Zeropoint     AB|PS|PS_i                7205.292256033103    All      0.788001323161096          -0.11291409185449908       0.5858624867044249        -0.2673134378948172       
Zeropoint     AB|PS|PS_z                8280.63894267043     All      0.24020771187260817        -0.05643978769276359       0.12364154482784606       -0.09111029574070256      
Check         All|All|All               All                  All      0.9991090600438803         0.9996871540351115         0.009293820333655667      0.0006030447481896184     
Lambda        AB|PS|PS_g                4684.349488568149    All      -0.00023159558496201326    3.0255302227424217e-05     -0.0008433414299936701    4.765899390237938e-05     
Lambda        AB|PS|PS_r                5948.805849121945    All      -0.00011083764445790807    5.4313962929042796e-06     -0.0004141153870096479    1.9392583951299862e-05    
Lambda        AB|PS|PS_i                7205.292256033103    All      -0.0002873795766841364     1.5424180553691713e-06     -0.0007395119070131356    6.111037898329185e-05     
Lambda        AB|PS|PS_z                8280.63894267043     All      0.00019960089518528736     -5.1757843195351234e-05    4.302643846275732e-05     -7.995573821213057e-05    
MWEBV         All|All|All               All                  All      -0.6745682601972542        -3.9406839015151185        0.08098536471650153       -1.060267311515213        
Redshift      All|All|All               All                  All      6.79778947171306           0.4113235726283193         10.886956512237722        -1.5944471846606425       
