#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4684.349488568149    All      -1.0991783578727754        1.1523519976930352        0.1777483173674393        0.7413296009919055         
Zeropoint     AB|PS|PS_r                5948.805849121945    All      1.0770567956031545         0.04005105945399379       -0.7533256895476813       -0.37140435036390657       
Zeropoint     AB|PS|PS_i                7205.292256033103    All      0.7357532803631937         -0.13053087150689535      0.40244578180294693       -0.26421794129090725       
Zeropoint     AB|PS|PS_z                8280.63894267043     All      0.285681159634785          -0.06313770485038006      0.1763315467919906        -0.1057529128907695        
Check         All|All|All               All                  All      0.9993128777283579         0.9987344807897536        0.0031999564146955595     -4.5603553677844855e-05    
Lambda        AB|PS|PS_g                4684.349488568149    All      -0.00025751518976649976    0.00010013922790984141    -0.000510061503089797     9.373810806287916e-05      
Lambda        AB|PS|PS_r                5948.805849121945    All      -0.0001462503276586341     -4.800542893228774e-05    -0.0008935324865507061    -7.872655352149974e-06     
Lambda        AB|PS|PS_i                7205.292256033103    All      -0.0003308889576589291     -1.928109740479328e-05    -0.001120771376973537     5.14860526412903e-05       
Lambda        AB|PS|PS_z                8280.63894267043     All      0.0002680268758438089      -5.766273835948266e-05    0.00016826706109464675    -9.857883610206026e-05     
MWEBV         All|All|All               All                  All      -0.681404297145789         -3.940311514610162        0.08234039085672766       -1.0578588221228018        
Redshift      All|All|All               All                  All      6.64712417217368           0.4686288415917339        11.121789669835882        -1.516224803196883         
