#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_r          4358.271577086813    All      -0.2434542364875959       0.544462724587369         0.3102904138907049         0.2704973119798018         
Zeropoint     AB|DECam|DECam_g          3279.178306785885    All      -0.2696424238452496       0.10310714722301384       -0.045651266886602426      0.11937959202110715        
Zeropoint     AB|DECam|DECam_z          6204.674848999276    All      0.8336348826546264        0.07567806628951956       0.09583365008516212        -0.2426148554734331        
Zeropoint     AB|DECam|DECam_i          5294.755607585264    All      0.6716984664690748        0.27527569569603116       -0.35991780298752424       -0.14518941686720993       
Check         All|All|All               All                  All      0.9922366887908556        0.9985236337959336        0.0005549941017403692      0.0020726316602659445      
Lambda        AB|DECam|DECam_r          4358.271577086813    All      -0.0003539149348431541    -8.959938399602745e-05    -0.0024064626779980603     -2.1293106201500865e-05    
Lambda        AB|DECam|DECam_g          3279.178306785885    All      -0.0007681022311308003    0.0003838402995932204     0.0004706582722663112      0.00039622889707638614     
Lambda        AB|DECam|DECam_z          6204.674848999276    All      0.00020358548549627165    6.424375140849528e-05     0.0018458662796120438      3.698434730262986e-05      
Lambda        AB|DECam|DECam_i          5294.755607585264    All      8.372265947698712e-05     9.192790916500834e-05     -0.00042960806306785974    -1.649871496816794e-05     
MWEBV         All|All|All               All                  All      -0.44695981004166296      -2.356549949119824        0.013399366104063781       -0.621418379779122         
Redshift      All|All|All               All                  All      1.9876201832231801        -0.14514072313431825      -6.555734660970487         -0.9872627214692037        
