#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4663.557173451676    All      -0.6547766892835138        0.6672919249036013         0.25527343817331477       0.44203292352340695        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6147.592436061147    All      1.195150664337656          -0.0789923894164879        -0.12402079665246864      -0.4205647892167857        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4331.343470258534    All      -0.6135565538661967        0.3613470213355896         -0.1854066837488158       0.3092843190645598         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7459.958657923714    All      0.4687249253122454         -0.04651757854849947       0.4496028938250261        -0.14776772228231802       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5427.972615918255    All      0.6030884231818542         0.09470387659726853        -0.388778493846921        -0.18294697076274066       
Check         All|All|All                      All                  All      0.998630769682045          0.9978328548714721         0.006670357750135469      3.776032612234914e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4663.557173451676    All      -2.864061971171334e-05     -0.00018577568121560536    -0.001829569389496369     -0.00013282933806674091    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6147.592436061147    All      -0.0002753612932656442     1.794232128704149e-05      -3.589638379713322e-05    9.39367459193741e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4331.343470258534    All      -0.0002170044240930099     4.193291825071254e-05      -0.0008946571281583715    4.441997256873795e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7459.958657923714    All      -0.00011587181595783122    1.2725023367743863e-05     -9.551003676874946e-05    3.762604699943206e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5427.972615918255    All      4.7607699068970294e-05     6.601753054602451e-06      1.3140867739262588e-05    -1.2770569099051748e-05    
MWEBV         All|All|All                      All                  All      -0.8699561435026162        -4.048338456881684         0.08839106128269582       -1.0313591980401755        
Redshift      All|All|All                      All                  All      4.846745969782612          0.7912845190557682         8.047482982967969         -0.9618750104430723        
