#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4663.557173451676    All      -0.6645135530675275        0.6822109770836526         0.043943550405689535       0.4406334842204429         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6147.592436061147    All      1.1790481365728271         -0.08611950351253839       -0.5213527771613657        -0.4353723031128576        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4331.343470258534    All      -0.5655197342987309        0.37172648307635114        0.4349467232326987         0.32470160210357063        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7459.958657923714    All      0.5409927905491017         -0.03639097136138858       1.043267443242768          -0.14151665217792542       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5427.972615918255    All      0.5101402165058955         0.06639740411484851        -0.9769385196070512        -0.18813791191440166       
Check         All|All|All                      All                  All      1.000147856261566          0.9978243894009253         0.023866420112739206       0.00030821911882888964     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4663.557173451676    All      -2.650000958195919e-05     -0.00015662334885700055    -0.002060363214736375      -0.0001343299999003012     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6147.592436061147    All      -0.00031586852148966923    2.1362395647319292e-05     0.00018787466325178713     0.00011823118762295875     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4331.343470258534    All      -0.00023395814143789594    6.192821591022402e-05      -0.0004979339562467497     7.415941542094959e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7459.958657923714    All      -0.00017221712788480554    1.2383491832580388e-05     -0.00035971800883070383    4.407793241289235e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5427.972615918255    All      4.6886573907725215e-05     2.8311436842187353e-05     0.00013440934998530264     -5.2461276075375865e-08    
MWEBV         All|All|All                      All                  All      -0.8614658057906617        -4.047165481624049         0.18867417158863198        -1.0292675290963338        
Redshift      All|All|All                      All                  All      5.38553805597288           0.5143309818470776         10.290917912680063         -1.1274760000288708        
