#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4658.560377877954     All      -0.3468544370516829        0.4370533173067237        0.03531860421013085        0.25692065248703405       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3485.0475480259847    All      -0.23756558798499683       0.08768649246784221       -0.020068757401530475      0.10504972660873922       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6030.288260517493     All      1.1167046500233244         -0.025680851245279968     0.014568911678459447       -0.37146239751422         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7372.9507702776655    All      0.4009862873491233         -0.04887236841000231      0.1458108870908736         -0.14002689388523645      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4264.494158265408     All      -0.5161777179791422        0.30329785898723927       -0.12542425749546018       0.2613330468043985        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5209.422761150058     All      0.577367785169519          0.24455697848173585       -0.04909079203099962       -0.1105981254710196       
Check         All|All|All                              All                   All      0.9944609795261447         0.9980414275882588        0.0011145960514735917      0.001216009029695736      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4658.560377877954     All      -0.00012249041678840476    -6.294993493149657e-05    -0.0007728392201525819     -1.509397110879334e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3485.0475480259847    All      -0.0005489775753353012     0.00016430292839696804    -0.00010112855284501426    0.0002278260234503265     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6030.288260517493     All      -0.00011001417349560911    4.342581436520076e-06     -0.0007080493235816645     5.6527679483521596e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7372.9507702776655    All      -7.107980084786074e-05     7.949193379986818e-06     -0.0004164644252261957     7.15744885076832e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4264.494158265408     All      -0.00036990136861048367    0.00014048724410824714    -0.0005176042372217087     0.0001431520626121683     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5209.422761150058     All      0.00021813591421701177     7.919866856079872e-05     -0.0011454838832379252     -9.637411650156639e-05    
MWEBV         All|All|All                              All                   All      -0.9927410189712194        -3.891633716097065        0.0008476617486768686      -0.9442268949401554       
Redshift      All|All|All                              All                   All      6.966831844426817          -0.08943865422761377      15.74605149449918          -1.5957854866149979       
