#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                            6138.559302165717    All      0.8129915420657848         -0.06761256016103445       0.11777558342593408        -0.28158594374510304       
Zeropoint     AB|CNIa02|SDSS_i                      7399.871678969016    All      0.17382464654954075        -0.0326603468209008        0.08355712754898931        -0.06353018465675245       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.910999487709    All      -0.5350922985686433        0.284487668330069          -0.5091256330027272        0.24424421992747186        
Zeropoint     AB|PS|PS_g                            4833.769643346075    All      -0.5562056796368804        0.7485522413820611         0.6475656191785948         0.4539004595590909         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.942250679988    All      0.2825097453402376         0.2687831366551485         -0.10724062175107882       -0.009256864451135778      
Zeropoint     AB|PS|PS_z                            8544.772597832896    All      0.28386941018121964        -0.0714604304164368        0.06795216459050282        -0.11271022607451388       
Zeropoint     AB|CNIa02|SDSS_r                      6102.10733132229     All      0.22668411425216325        -0.07226755896647674       -0.4309186072200882        -0.11660831348788016       
Zeropoint     AB|PS|PS_i                            7435.124783845998    All      0.30853863123165404        -0.060429904246372956      0.13238142373802908        -0.11427761577391435       
Check         All|All|All                           All                  All      0.9971201114150763         0.9973922457560569         0.0019470565081559088      0.00017553129726317895     
Lambda        AB|PS|PS_r                            6138.559302165717    All      -0.00015215162134130317    -1.6977275744987852e-06    -0.00022999453024474635    3.874418342777659e-05      
Lambda        AB|CNIa02|SDSS_i                      7399.871678969016    All      2.959228652283532e-05      -9.600437775186342e-06     -1.776211505575519e-05     -1.3559001322690596e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.910999487709    All      -0.0002749175029415501     5.7214987592894655e-05     -0.0007750012397599702     7.360173312290843e-05      
Lambda        AB|PS|PS_g                            4833.769643346075    All      -0.00017475258972840405    -5.9938776051694337e-05    -0.0011414893504973927     -1.3540790664961926e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.942250679988    All      6.211501002078296e-06      -1.8285270670051017e-05    -0.0005761448209883565     -3.3690101676721226e-05    
Lambda        AB|PS|PS_z                            8544.772597832896    All      0.0003195296486904452      -6.474580185646509e-05     0.0002085896214758812      -0.00011586275974094937    
Lambda        AB|CNIa02|SDSS_r                      6102.10733132229     All      3.964190711896921e-05      -1.6042269116512413e-05    -0.00010661530660220659    -2.28959196221446e-05      
Lambda        AB|PS|PS_i                            7435.124783845998    All      -5.680251860379577e-05     3.0556085457850166e-06     -9.47647275992374e-05      1.5268846732405623e-05     
MWEBV         All|All|All                           All                  All      -0.7541427699338783        -4.084223206448723         0.05445667030441921        -1.0822866034798497        
Redshift      All|All|All                           All                  All      4.342121242856969          1.1273779327086508         6.669349643053482          -0.7495252146742641        
