#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                            6138.559302165717    All      0.8984312156593698         -0.09003360700647889       0.24985799332357672        -0.31082549758323086       
Zeropoint     AB|CNIa02|SDSS_i                      7399.871678969016    All      0.1408039664936588         -0.025462961461464317      0.10544713664528693        -0.049452987047139685      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4325.910999487709    All      -0.6722299550157569        0.30871857669527714        -0.7542812932052279        0.28586709919932174        
Zeropoint     AB|PS|PS_g                            4833.769643346075    All      -0.6397661133430299        0.7287884164914438         0.5439235299232514         0.4700560434638304         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5411.942250679988    All      0.4553130386186824         0.2617806789626975         -0.16705835394299484       -0.07049490363067595       
Zeropoint     AB|PS|PS_z                            8544.772597832896    All      0.332394357732019          -0.08487051471925966       0.0594714579745137         -0.13326295853705872       
Zeropoint     AB|CNIa02|SDSS_r                      6102.10733132229     All      0.16983254467574016        -0.045349250349158154      -0.1760117012128859        -0.07794638374301749       
Zeropoint     AB|PS|PS_i                            7435.124783845998    All      0.31654310577706374        -0.06001989354320614       0.1435434989197404         -0.1162532703479692        
Check         All|All|All                           All                  All      1.0013221605977471         0.9935514450698513         0.004892268425260582       -0.002312858225939768      
Lambda        AB|PS|PS_r                            6138.559302165717    All      -0.00014109938226033634    2.7096030574270227e-05     -0.00013201242574545767    4.889567117507455e-05      
Lambda        AB|CNIa02|SDSS_i                      7399.871678969016    All      4.848708925168515e-05      -1.1010206431403338e-05    2.7384734294017318e-05     -1.8158171688862578e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4325.910999487709    All      -0.00030583026030696933    1.1105793284653723e-05     -0.001155946789768272      5.165190338546247e-05      
Lambda        AB|PS|PS_g                            4833.769643346075    All      -0.0002532972162908886     7.323203799056987e-06      -0.0006566540191692797     5.5589192007737556e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5411.942250679988    All      0.0001344432563564861      -9.660321567366942e-05     -0.0008523011633715516     -0.00011329372358698962    
Lambda        AB|PS|PS_z                            8544.772597832896    All      0.00026383367499849465     -7.156566228136297e-05     6.910358513263651e-05      -0.00010616682283931155    
Lambda        AB|CNIa02|SDSS_r                      6102.10733132229     All      7.004600155409359e-05      -2.145614862096479e-05     -3.7851726329387084e-05    -3.149440934273108e-05     
Lambda        AB|PS|PS_i                            7435.124783845998    All      -2.344594860048965e-05     2.6970668214712275e-06     -2.6552783941372066e-05    7.330711407815279e-06      
MWEBV         All|All|All                           All                  All      -0.7700050874834874        -4.0789383868745865        0.05149210404753468        -1.075530580174784         
Redshift      All|All|All                           All                  All      4.732217768375531          1.0257015084991217         7.319764626183156          -0.8806868098010803        
