#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                 dmB/dP                   ds/dP                    dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5448.603656135092    All      0.8906946257367614     1.0300555374917697       -0.006673239697985167    0.045096637757779945     
Check         All|All|All                           All                  All      0.8906946257367614     1.0300555374917697       -0.006673239697985167    0.045096637757779945     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5448.603656135092    All      0.01913067673879282    -0.008921746506260845    6.295459700573207e-07    -0.009137569054480706    
MWEBV         All|All|All                           All                  All      -1.0388898662396704    -4.048912532655163       -0.009312026368490933    -0.9808789622240965      
Redshift      All|All|All                           All                  All      5121.900978280709      -888.1427132712387       41.836745426875495       -1955.8019731037348      
