#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                  dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5448.603656135092    All      0.9825412422175699      1.0075956257787233       -0.003889293680732802     0.007987475676512347     
Check         All|All|All                           All                  All      0.9825412422175699      1.0075956257787233       -0.003889293680732802     0.007987475676512347     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5448.603656135092    All      0.019784057410884112    -0.009146924354814637    -6.636050261878196e-05    -0.009426733926565968    
MWEBV         All|All|All                           All                  All      -1.0046105070266034     -4.045205833345156       0.005273437296440734      -0.990186601110404       
Redshift      All|All|All                           All                  All      -93.59660194593727      41.495461478342754       -9.562748996732912        43.57718788655623        
