#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                6019.588092086138    All      1.000820901269013          0.01525088540139663        -0.711451575175523        -0.35278139467969477      
Zeropoint     AB|PS|PS_g                4740.086517484291    All      -1.0769036780971724        1.2000001058213527         0.04563984854530835       0.7436991671561018        
Zeropoint     AB|PS|PS_i                7291.02488204742     All      0.8158643308300699         -0.16485036502480455       0.9473876350195655        -0.27717348203817394      
Zeropoint     AB|PS|PS_z                8379.166649306773    All      0.2586764357981808         -0.050623500778179675      -0.2825200339381888       -0.11335673655566525      
Check         All|All|All               All                  All      0.9984579898000909         0.9997771254197652         -0.0009441255488380484    0.0003875538825678926     
Lambda        AB|PS|PS_r                6019.588092086138    All      -0.0001728776645843937     1.9375256427113653e-05     -0.0008615621321640122    2.417554035994712e-05     
Lambda        AB|PS|PS_g                4740.086517484291    All      -0.000324950908013959      4.4846865523263246e-05     -0.001165149979578695     6.846000857815669e-05     
Lambda        AB|PS|PS_i                7291.02488204742     All      -0.00027429509081419213    3.884854097950254e-05      -0.0011414560345777377    5.10632426894282e-05      
Lambda        AB|PS|PS_z                8379.166649306773    All      0.00031162916370817615     -0.00013126718882669252    0.00027179566262215557    -0.0001321369207673073    
MWEBV         All|All|All               All                  All      -0.6876227167228395        -3.999397983174191         0.0091984304772252        -1.0783436747478736       
Redshift      All|All|All               All                  All      5.962740481265909          0.7500370961599501         10.539420187037912        -1.2276230682351028       
