#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6019.588092086138    All      0.9046904052888766         -0.033225188421504015      -1.1538428493439445       -0.35700067233566807       
Zeropoint     AB|PS|PS_g                4740.086517484291    All      -1.0474142285992174        1.1822732347896547         0.14557574420630548       0.7327789382231713         
Zeropoint     AB|PS|PS_i                7291.02488204742     All      0.9292506662950701         -0.11986074046950179       1.5201059257344163        -0.2738947540517775        
Zeropoint     AB|PS|PS_z                8379.166649306773    All      0.17445515438618625        -0.02408759061474086       -0.47480899365486273      -0.08586044857708253       
Check         All|All|All               All                  All      0.9609819973709156         1.005099715283908          0.03702982694191448       0.016023063258643222       
Lambda        AB|PS|PS_r                6019.588092086138    All      -0.0002540404494610133     -9.656170954687137e-06     -0.0006816450703682       4.918531070549927e-05      
Lambda        AB|PS|PS_g                4740.086517484291    All      -0.00024011395293743032    -7.022984095858118e-05     -0.0016340973332483804    -1.7585414552501303e-05    
Lambda        AB|PS|PS_i                7291.02488204742     All      -0.00042139452871279594    -1.1588402231258193e-05    -0.001524578831272607     6.545238651374286e-05      
Lambda        AB|PS|PS_z                8379.166649306773    All      0.00021002999974332792     -8.378532698531072e-05     -3.483350478159573e-05    -9.725977748655287e-05     
MWEBV         All|All|All               All                  All      -0.7021929358168038        -3.9925583180735913        0.06251416331108928       -1.0689905348153643        
Redshift      All|All|All               All                  All      6.4919647999876355         1.239609415964793          12.668924326862152        -1.1455090394927452        
