#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5206.792143278252     All      0.9249149568519874        0.14093381766802082       0.22516157871115913       -0.24532052211743904      
Zeropoint     AB|MEGACAMPSF|r           3696.8965143776336    All      -2.1174349611307504       0.2149884340152397        -0.16204177126300137      0.7525158542289768        
Zeropoint     AB|MEGACAMPSF|i           4520.723237243998     All      2.194743864615206         0.6436489912569954        -0.061109968316194585     -0.507969686976394        
Check         All|All|All               All                   All      1.0022238603364435        0.9995712429402559        0.002009839131963176      -0.0007743548648562193    
Lambda        AB|MEGACAMPSF|z           5206.792143278252     All      0.00023297193614105845    3.3028804261863335e-05    -8.872557413971606e-06    -6.55239974739118e-05     
Lambda        AB|MEGACAMPSF|r           3696.8965143776336    All      -0.003173056165278168     0.00022506729542581168    -0.0019837236306030344    0.0010183561313717798     
Lambda        AB|MEGACAMPSF|i           4520.723237243998     All      -0.0005211419078244735    -0.0001886023051573528    -0.0018991456222084574    2.356894215783779e-05     
MWEBV         All|All|All               All                   All      -0.18915239840701026      -1.9549045991098524       0.030959757134419764      -0.5737819915229403       
Redshift      All|All|All               All                   All      9.983943722188943         1.002783456045897         0.7821914683017381        -2.8905537573243345       
