#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4869.004098256974    All      -2.29860164647965         1.5003297218834533       -0.7366568519850828       1.2045633158440219        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5830.637221909365    All      3.2957943565324235        -0.49751290132995507     0.7361066731663528        -1.2027559099799963       
Check         All|All|All                            All                  All      0.9971927100527734        1.0028168205534982       -0.000550178818729985     0.001807405864025613      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4869.004098256974    All      -0.0006167034796865623    -6.74614238180105e-05    -0.0033325510022029856    3.018976174812465e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5830.637221909365    All      -0.0004781547964908506    8.365736326194897e-05    0.00013710577693616349    0.00018911910462314464    
MWEBV         All|All|All                            All                  All      -0.3751050093588839       -2.7283920483698765      -0.030353294647581117     -0.7678975375823164       
Redshift      All|All|All                            All                  All      1.5627626764649594        1.9890719676519453       9.037849989887025         0.5421806970037487        
