#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          4002.486772809438     All      -0.7089910632913835        0.6548937320367543        1.1130802572805294        0.49393380800507175       
Zeropoint     AB|DECam|DECam_i          6462.6523177357585    All      0.9949304727009247         -0.030653585432460773     0.11943037103652565       -0.3287368395118507       
Zeropoint     AB|DECam|DECam_z          7573.278025568664     All      0.48289583690481686        0.022787599684903626      1.473025094263734         -0.08413804537647612      
Zeropoint     AB|DECam|DECam_r          5319.602262403081     All      0.23113990340639792        0.3531809010571152        -2.666309287285583        -0.07923236961153343      
Check         All|All|All               All                   All      0.9999751497207562         1.0002086473463123        0.03922643529520631       0.00182655350521152       
Lambda        AB|DECam|DECam_g          4002.486772809438     All      -0.0006434633025997857     0.0004260267255399917     -0.0004632647515884926    0.00032769470917659734    
Lambda        AB|DECam|DECam_i          6462.6523177357585    All      -0.00033955899612697296    2.498520079158071e-05     0.0001994899226396875     0.00012764635710755404    
Lambda        AB|DECam|DECam_z          7573.278025568664     All      -0.00011961622856753609    -3.20015088542992e-06     -0.0003248750896754956    2.3422863321356112e-05    
Lambda        AB|DECam|DECam_r          5319.602262403081     All      0.0001251897650843002      0.00010199515715136283    3.6182070127178384e-05    -5.940607272154372e-06    
MWEBV         All|All|All               All                   All      -0.48774362526591464       -3.1965848730726165       0.28883631622959105       -0.8694692744245107       
Redshift      All|All|All               All                   All      6.372361157981354          -0.7791881953393087       -3.0925355152805567       -2.4675005599068727       
