#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5294.729934658183    All      0.1636672419407504         0.13293584824198845        0.003342928965732739       -0.009861046394285533      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3501.308754054683    All      -0.15293489380332081       0.06740388994463942        -0.06354337226702755       0.0689359419372565         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4284.392256400401    All      -0.2832919257591081        0.14263537752716715        -0.2297310617867615        0.1284866931014622         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4680.297186072928    All      -0.28755753102927506       0.29512617990015144        -0.020893247403880322      0.18886688470198532        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7407.352903925124    All      0.1950003589375751         -0.034911013834904026      0.09817009126579235        -0.07050881767722006       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6101.192810937197    All      0.3847698086876424         -0.015726469045329594      0.04123525941781836        -0.12861467335268106       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5233.729889142512    All      0.16424615650210525        0.1391862629113838         0.0222143365093741         -0.007171507976852509      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6058.425540845924    All      0.4464807937178051         -0.042782629930915306      -0.06922119771003432       -0.16245821750325573       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6259.26931746366     All      0.30367629159413256        -0.025501212905520987      -0.020607919960433096      -0.1081435796528446        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7739.508192695182    All      0.12056655349801797        -0.02246936885015316       0.033746559754110894       -0.04508555168138695       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5275.799590491233    All      0.13038043760902884        0.09979824702881501        -0.020019295140594195      -0.010854994792988681      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7433.222602671807    All      0.18736501885634455        -0.029339403563444222      0.11106403342467652        -0.06563148203277136       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4281.35790716098     All      -0.2394194394462542        0.1771404441250013         0.02928629177293418        0.13699417118701873        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4280.317789642614    All      -0.2089929663765352        0.13084566422438826        -0.07882948589386374       0.10717882444086779        
Check         All|All|All                                All                  All      0.9239559049289088         1.0143418157732675         -0.1637860790521556        0.02213264430430406        
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5294.729934658183    All      4.177476630052528e-05      2.8739183682773903e-05     -0.00018096655414700643    -1.2321824278791942e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3501.308754054683    All      -0.0003212776128230445     0.00011551673627600384     -0.00013052077457760807    0.00013645374689964692     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4284.392256400401    All      -0.0001898858539913838     8.830580076668235e-05      -0.00021249205225203427    8.113362983698289e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4680.297186072928    All      -8.546008571121449e-05     1.1878240188838644e-05     -0.00026435410789443005    1.9909385380624174e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7407.352903925124    All      -5.376353923202502e-05     -5.521675044652506e-06     -0.00022841965483706144    5.520642174167783e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6101.192810937197    All      -1.7565712240122222e-05    -1.2100697692061464e-05    -6.995021522302822e-05     -1.3414218037440102e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5233.729889142512    All      1.3453907958232343e-05     4.432261834940819e-05      -0.00034003054206836145    -5.119046863905433e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6058.425540845924    All      -4.8617695550832424e-05    -2.616392979791974e-05     -0.0004952742666997392     -1.4787885597704103e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6259.26931746366     All      -6.500768115474857e-05     -4.282985847810711e-07     -8.30103164187758e-05      1.7331260332441436e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7739.508192695182    All      -2.138473563111562e-05     5.329617774666328e-06      -4.525440565805901e-06     8.499794152529819e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5275.799590491233    All      3.350731774217124e-05      3.303056176342569e-05      -0.0001810673711928819     -8.235500271065269e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7433.222602671807    All      -5.927433780575456e-05     3.374547040842225e-06      -0.0001297887463084558     1.4614927232032032e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4281.35790716098     All      -0.00010687330855414627    6.640309634481378e-05      -4.931379101975902e-05     5.424117769682511e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4280.317789642614    All      -0.00011631550795561371    6.115028404943111e-05      -9.336059322993704e-05     5.364019242102393e-05      
MWEBV         All|All|All                                All                  All      -0.930107457975017         -3.938592505498839         -0.028180136381983356      -0.9812201062567277        
Redshift      All|All|All                                All                  All      5.314316350171248          -0.4838085040688611        5.689445834676579          -1.6347461807457386        
