#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5294.729934658183    All      0.1882867801476013         0.12705400355192964        0.013693804134254724       -0.019334438250579407      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3501.308754054683    All      -0.1331267515160968        0.05713217070670851        -0.03204213235501479       0.060543697097774685       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4284.392256400401    All      -0.26408393254336104       0.1394008308915673         -0.15276765722725758       0.1246109427996072         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4680.297186072928    All      -0.24485148563257075       0.2657309028240462         0.07407923470985324        0.16961929759344196        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7407.352903925124    All      0.15553508773292232        -0.025566048213576664      0.0481030197509295         -0.056843981185870245      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6101.192810937197    All      0.4104112894382973         -0.011705337945500105      0.021261024119335833       -0.13654849090535778       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5233.729889142512    All      0.1732603542018122         0.1248494077894513         0.04835098458134308        -0.013611355545510394      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6058.425540845924    All      0.4285025253087371         -0.03406218333577016       -0.1622767987137776        -0.15791421174863024       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6259.26931746366     All      0.31924429538805826        -0.021520311929812408      -0.0273896706971123        -0.1122205186330212        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7739.508192695182    All      0.10273327516096331        -0.017097983081271195      0.034667616201273385       -0.03748592665233227       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5275.799590491233    All      0.1526619595760203         0.09698961094199987        -0.0009543163487351137     -0.018176902271595165      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7433.222602671807    All      0.1655046642555623         -0.02424712801207818       0.08690307049165143        -0.057930316485434605      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4281.35790716098     All      -0.24173486427491572       0.17910837603194452        0.07140406649662097        0.1402689242400317         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4280.317789642614    All      -0.217036888252883         0.140348540232349          -0.023451512952622548      0.11536565837482825        
Check         All|All|All                                All                  All      0.9953063089901474         0.9964148504519876         -0.00041926780925774856    0.00034237842735242163     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5294.729934658183    All      2.6151313505862615e-05     1.1669345480805064e-05     -0.00021084273300608325    -1.41261962367723e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3501.308754054683    All      -0.00024614325859721053    8.120528777697558e-05      -7.352191312154375e-05     0.00010334724569268229     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4284.392256400401    All      -0.00015133970826955507    6.330959445333457e-05      -0.00021504515647839664    6.032186198219847e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4680.297186072928    All      -4.951699990438564e-05     -3.277573034537341e-05     -0.0003261199289082284     -9.100052345737807e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7407.352903925124    All      -4.846463112813741e-05     -1.1540375943880765e-06    -0.00015328097858132987    8.570390706223824e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6101.192810937197    All      -8.366087193199219e-05     -3.3655887658278636e-06    -0.00012916752505675672    2.039066196527318e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5233.729889142512    All      3.260524807356157e-05      2.108490378460029e-05      -0.00031801247626328776    -1.7943991380140623e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6058.425540845924    All      -0.00010216463998141734    -1.3715039481692435e-05    -0.00043674753257514406    9.320908318218296e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6259.26931746366     All      -8.67442992311537e-05      2.053740994818301e-06      -9.137629003228573e-05     2.4846738922328617e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7739.508192695182    All      -2.248112654150316e-05     4.091821748412738e-06      -1.794652451559974e-06     8.57559638568475e-06       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5275.799590491233    All      3.470092919463362e-05      1.8303045042865e-05        -0.00022255812945770942    -1.5273077487776813e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7433.222602671807    All      -6.088671089984653e-05     3.923299738045835e-06      -0.0001137198577403302     1.6035957696243365e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4281.35790716098     All      -8.292650309430414e-05     3.885519231688231e-05      -9.588256475401152e-05     3.538950620191755e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4280.317789642614    All      -0.00010163517447404514    4.419399225395222e-05      -0.00013213677816929306    4.1604699712965544e-05     
MWEBV         All|All|All                                All                  All      -0.926972237344486         -3.934141015715653         0.00041921130645494764     -0.979515096554457         
Redshift      All|All|All                                All                  All      5.751464029739523          0.19037743849459332        6.248733353189493          -1.5325765869244201        
