#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          5634.484132873981    All      -0.001666459066060555     0.17359610376743717        -1.0316360921335033       0.01105160202319471       
Zeropoint     AB|DECam|DECam_z          8021.561155144213    All      0.655030299553567         -0.06728559795607936       0.3777487818873959        -0.21842485810784143      
Zeropoint     AB|DECam|DECam_g          4239.404959431146    All      -0.597515473060934        0.849369497338337          0.3494460697560243        0.4868922091061389        
Zeropoint     AB|DECam|DECam_i          6845.194460856897    All      0.940970612070129         0.044553472792152604       0.31136044468695856       -0.2780979668911606       
Check         All|All|All               All                  All      0.9968189794967015        1.0002334759418474         0.006919204196875528      0.0014209861303315918     
Lambda        AB|DECam|DECam_r          5634.484132873981    All      -4.815388866107051e-05    -0.00011889201449460463    -0.0007585697544503084    -5.689321895544833e-05    
Lambda        AB|DECam|DECam_z          8021.561155144213    All      0.0002262845582781603     0.0001393848176204057      0.0011918036004931359     2.4878616485278514e-05    
Lambda        AB|DECam|DECam_g          4239.404959431146    All      -0.0004073616673448317    0.0004909087627742821      6.030298320863356e-05     0.0002952872764881748     
Lambda        AB|DECam|DECam_i          6845.194460856897    All      -0.0006142952969251545    -0.0001810853501715978     -0.0012932752601512935    8.339779677942331e-05     
MWEBV         All|All|All               All                  All      -0.4676016760643895       -3.4970885902907867        0.10197484559325341       -0.9822528861173034       
Redshift      All|All|All               All                  All      0.4504631500092473        1.5849638753223871         -2.3828294749898675       0.26320947467085604       
