#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          5634.484132873981    All      0.03734958706418448        0.131724171127523          -1.2721042533171634       -0.02602726340101397      
Zeropoint     AB|DECam|DECam_z          8021.561155144213    All      0.572035124846385          -0.03911961760589833       0.36572751326848785       -0.18275246681905555      
Zeropoint     AB|DECam|DECam_g          4239.404959431146    All      -0.6041601480437663        0.8544156698240712         0.405512161477839         0.4932022749154077        
Zeropoint     AB|DECam|DECam_i          6845.194460856897    All      0.9920710858782038         0.056115063313910696       0.5239700170183159        -0.2814892932354345       
Check         All|All|All               All                  All      0.997295649745007          1.0031352866596066         0.023105438447479365      0.0029332514599036963     
Lambda        AB|DECam|DECam_r          5634.484132873981    All      -7.569283704777344e-05     -0.00014044090214380294    -0.001100325079481087     -7.019302963678777e-05    
Lambda        AB|DECam|DECam_z          8021.561155144213    All      0.000272243928021622       0.00012639185419850712     0.001287101540509385      9.928611474485631e-06     
Lambda        AB|DECam|DECam_g          4239.404959431146    All      -0.00033550323183818994    0.00041088113766482776     0.00016602413757928178    0.0002505308392024037     
Lambda        AB|DECam|DECam_i          6845.194460856897    All      -0.000576626006622029      -0.00012398687790959883    -0.0011623628272307493    9.556854116671579e-05     
MWEBV         All|All|All               All                  All      -0.46396881711197224       -3.483420400735504         0.16312931233981587       -0.9762550058087873       
Redshift      All|All|All               All                  All      1.0142547538830788         1.5877756961973688         -0.33296330058798507      0.17195601633020716       
