#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6062.487941086242    All      1.267904209703169          -0.06963156103303447      -0.264865942983486         -0.4474991546986779       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4240.27744099765     All      -0.9420906486837224        0.6505723401772912        0.1921028746588507         0.5273554015274515        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7381.020591622126    All      0.6136385559668026         -0.14193082120206313      0.5876779313375491         -0.21988843666958358      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5249.363240397027    All      0.05763550469925183        0.5592825450672301        -0.5152187364679042        0.14041109885077374       
Check         All|All|All                                All                  All      0.997087621685501          0.9982925030094236        -0.00030387345499038876    0.0003789090099637904     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6062.487941086242    All      -0.00030478446269262353    4.289558423477333e-05     -0.0008893652235266848     7.356254439877558e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4240.27744099765     All      -0.0004878613759981254     0.0002228346766894887     -0.000493803089454621      0.00020946092163919578    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7381.020591622126    All      -0.0002559403937619226     7.173039768393004e-05     -0.0006792403814737188     7.642177823581537e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5249.363240397027    All      -0.00011630817298914101    0.00011019911828878947    -0.0014382201222891992     9.59971808609452e-06      
MWEBV         All|All|All                                All                  All      -0.82465586063765          -3.934140906154582        0.07464377618967369        -1.0095305694393963       
Redshift      All|All|All                                All                  All      9.159772310692945          -1.3337759327919585       15.596142847993324         -2.722109665573231        
