#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6062.487941086242    All      1.2332972168852128         -0.07706360657815381     -0.33542359790459386      -0.4417960444222463       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4240.27744099765     All      -0.9178471369967434        0.6547150523477541       0.46586155321441947       0.5330245023240628        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7381.020591622126    All      0.6124115691314077         -0.15114074465278904     0.5461656922346236        -0.22434124232835612      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5249.363240397027    All      0.0685852807690252         0.5718291303515421       -0.6775836908568977       0.1336856299462938        
Check         All|All|All                                All                  All      0.9964469297889024         0.9983398314683534       -0.0009800433124484975    0.0005728455197542281     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6062.487941086242    All      -0.00023777417228253408    3.493269042485083e-05    -0.0005368290298705469    6.487338293652117e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4240.27744099765     All      -0.000484997503801048      0.0002100780530202541    -0.0005492749502336714    0.00020189735786296065    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7381.020591622126    All      -0.00024282631437619743    5.421190321335388e-05    -0.0005200477201105898    7.354777848026076e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5249.363240397027    All      -0.00011188765624695425    8.927495389441846e-05    -0.0013676958910559896    4.491294158534896e-06     
MWEBV         All|All|All                                All                  All      -0.8256640331913951        -3.935125340792389       0.0894752706518398        -1.008860975739965        
Redshift      All|All|All                                All                  All      8.783859507925563          -1.0404628754938194      13.059293094299983        -2.617328739250907        
