#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5405.408574402325     All      0.5849958451006277         0.09855783460368528        -0.4015427035489986        -0.17636786999451315       
Zeropoint     AB|CNIa02|SDSS_g                      4664.2194160205445    All      -0.5903958037572922        0.7771026845668771         0.8223490468093411         0.48213690805767073        
Zeropoint     AB|CNIa02|SDSS_r                      6094.740439351222     All      1.2110392152570957         -0.10270335432611688       0.02030854232983848        -0.42702289878958466       
Zeropoint     AB|CNIa02|SDSS_i                      7390.938034852515     All      0.4811112400254776         -0.06006878923887626       0.17818642151683622        -0.16832849821385906       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4320.6884563105195    All      -0.6879009437086505        0.28461437336657625        -0.6183397250419221        0.28918657157800765        
Check         All|All|All                           All                   All      0.9988495529172586         0.9975027489721455         0.0009615820650950013      -0.0003957873622785213     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5405.408574402325     All      7.226469483236954e-05      -2.9669213307862195e-05    -0.0007705916795264264     -6.759119486493556e-05     
Lambda        AB|CNIa02|SDSS_g                      4664.2194160205445    All      -0.00011161770062316243    -8.73073679186424e-05      -0.000612198496071078      -1.9400932005608354e-05    
Lambda        AB|CNIa02|SDSS_r                      6094.740439351222     All      -6.103629071812499e-05     -2.3921483192129558e-05    -0.00028698984034807734    -7.175246259580346e-07     
Lambda        AB|CNIa02|SDSS_i                      7390.938034852515     All      -2.7787024047128868e-05    -2.265551478946277e-05     -0.0002305372956488691     -8.616319298445919e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4320.6884563105195    All      -0.0004084292940733455     8.898634500942402e-05      -0.0007552775692492432     0.00012832006908652222     
MWEBV         All|All|All                           All                   All      -0.8728705417627327        -4.045386718810562         0.010387171436402866       -1.0329293597918703        
Redshift      All|All|All                           All                   All      4.516716805826339          0.4004825748582519         3.46811485053962           -1.186026871805915         
