#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5405.408574402325     All      0.5651570363426605         0.13723516060037966       -0.5176287222854847        -0.16248762563367825       
Zeropoint     AB|CNIa02|SDSS_g                      4664.2194160205445    All      -0.5412891344223413        0.7263592422882326        0.8857360736315545         0.45244111361501527        
Zeropoint     AB|CNIa02|SDSS_r                      6094.740439351222     All      1.192473386428364          -0.1272856610368578       -0.020576407762040727      -0.4308071711168149        
Zeropoint     AB|CNIa02|SDSS_i                      7390.938034852515     All      0.501427930146158          -0.07584475673789726      0.20879292534561888        -0.17871923651847088       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4320.6884563105195    All      -0.7106716259984711        0.3296927729845578        -0.5697800124742025        0.31345424666907595        
Check         All|All|All                           All                   All      1.0070975924963705         0.990156758098415         -0.0134561435445546        -0.006118672984872786      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5405.408574402325     All      -5.608308094761135e-05     5.219948907648973e-05     -0.0009236438351359214     -5.946786771830666e-06     
Lambda        AB|CNIa02|SDSS_g                      4664.2194160205445    All      -6.333448945017653e-05     0.00010708293529711115    -0.0003176125050214995     4.133697444929715e-05      
Lambda        AB|CNIa02|SDSS_r                      6094.740439351222     All      0.00018723626829880637     -7.93924371680262e-05     -0.00045978785627515573    -0.00010736796149072603    
Lambda        AB|CNIa02|SDSS_i                      7390.938034852515     All      -2.2827884583396628e-05    -3.574183578610242e-05    -0.00032397557436344906    -1.8664040680944076e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4320.6884563105195    All      -0.0006327227797309226     0.0002035529651918875     -0.0007308445636833563     0.00023978828654664178     
MWEBV         All|All|All                           All                   All      -0.8561568243004882        -4.055082962162437        0.011996686238469056       -1.0414601276375501        
Redshift      All|All|All                           All                   All      4.425301551275456          -1.0152839404928393       4.019600564497427          -1.5928013727792012        
