#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4500.538923253744    All      -2.4958105198335003       1.100068226870654         -0.23741823457705813      1.1607011233117581        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5389.399810521629    All      3.492739677727759         -0.0981180955482941       0.2356727084457777        -1.1591435218954338       
Check         All|All|All                            All                  All      0.9969291578942588        1.00195013132236          -0.0017455261312804282    0.001557601416324328      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4500.538923253744    All      -0.0005121852027556632    4.6644559440504416e-05    -0.0010942097603648686    0.00013319968241895137    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5389.399810521629    All      0.0038263898376039752     -0.002615043164506631     -0.002202587319100899     -0.0021964780015724526    
MWEBV         All|All|All                            All                  All      -0.18133560934051873      -2.430518484144528        0.01690926672868187       -0.7318782753297004       
Redshift      All|All|All                            All                  All      3.759008707824051         3.4666902436638836        8.131233898655443         0.2676418827217031        
