#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4500.538923253744    All      -2.6744771796161135       1.207521129136957         -0.8343542304153736      1.2272611658586856        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5389.399810521629    All      3.6723825419025267        -0.21137210298789455      0.8242455885785073       -1.22828436457823         
Check         All|All|All                            All                  All      0.9979053622864129        0.9961490261490624        -0.010108641836866328    -0.0010231987195443715    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4500.538923253744    All      -0.0016120629245731375    0.000860460489004941      -0.002450708188687243    0.0006960183686410183     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5389.399810521629    All      0.002045482770885539      -0.0018136840560194043    -0.006334841476486728    -0.0015397524785614415    
MWEBV         All|All|All                            All                  All      -0.16090357463129656      -2.442352938521708        0.030805497733041493     -0.7417684073944576       
Redshift      All|All|All                            All                  All      0.07089041082265929       -0.7250365244965806       9.083639202642516        0.1461015099162166        
