#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4244.959758758276    All      -0.7929401515517716        0.6804010292719376         0.35001834541525945       0.495535405259153         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5249.716560375321    All      -0.09412161392174268       0.4395837249182577         -0.8373519804207863       0.13647821417666212       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6049.323257823085    All      1.1495076293978768         -0.00431501103150822       -0.07034229109077472      -0.3789770470061307       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7370.028740988378    All      0.7341544209478174         -0.11730940202854256       0.5593221638229284        -0.25238980017349144      
Check         All|All|All                                All                  All      0.99660028487218           0.9983603411301445         0.0016462377266268646     0.0006467722561929734     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4244.959758758276    All      -0.00031055497828611644    0.000255806837935981       5.224602329819996e-05     0.00018681417635633578    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5249.716560375321    All      -0.00018836858883982413    0.00012312122242058996     -0.0011610306846743306    4.965101220196443e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6049.323257823085    All      -0.000102972017529436      -2.1146377959212258e-05    -0.0005254770745352501    3.203674384004709e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7370.028740988378    All      -0.00021588645557829724    -4.023202790127248e-06     -0.0005892890914371631    4.2713565883152656e-05    
MWEBV         All|All|All                                All                  All      -0.7889010237865772        -3.9335381273533088        0.05550721561886629       -1.0218347280218067       
Redshift      All|All|All                                All                  All      6.977943078333696          -0.06468267001009664       6.567798950171877         -2.000924199403989        
