#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4244.959758758276    All      -0.8928214665530324        0.6795662169215788        0.1802262716460773        0.5202210692801706        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5249.716560375321    All      0.016469941179144187       0.4836190296945375        -0.4479713108381347       0.13217492473308434       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6049.323257823085    All      1.195015101308012          -0.044546518238153254     -0.12653136075109428      -0.4094125133449723       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7370.028740988378    All      0.6781021669246123         -0.12020951713953565      0.39548045059584236       -0.242387903039908        
Check         All|All|All                                All                  All      0.9967657428587358         0.9984292112384274        0.0012040506526906913     0.0005955776283746717     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4244.959758758276    All      -0.0002713618918580897     0.0001990135882635301     2.0323116710891492e-05    0.00015412369612736546    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5249.716560375321    All      -0.00017215455110855435    0.0001045344760381993     -0.0011559457819060644    3.8542167760789186e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6049.323257823085    All      -0.00020547063563535004    -3.257325976416168e-05    -0.0006660057066819693    2.6597587640312228e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7370.028740988378    All      -0.00021278686592336358    -6.11861546306745e-06     -0.000604443669199147     4.0345103511404886e-05    
MWEBV         All|All|All                                All                  All      -0.8129084706925043        -3.9279583644688643       0.034894185553379586      -1.0131170652623933       
Redshift      All|All|All                                All                  All      6.8015930269622595         0.2482877240742809        6.443779893191677         -1.8470708330686383       
