#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z                           8428.21562064012      All      0.1371163960530643         -0.0001225858177633654     0.09827927689133023        -0.04031749867645454       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7202.100554613732     All      0.22016275327789392        0.001783787433229378       0.16224666741408128        -0.06389289003548385       
Zeropoint     AB|SDSS|SDSS_u                           3402.1634943281324    All      -0.1677019417750477        0.17308866675822543        0.4062926313014478         0.12913768697771058        
Zeropoint     AB|SDSS|SDSS_g                           4473.666887233765     All      -0.22769308107790387       0.5274643009603786         0.9715577167371049         0.2893357619645817         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5890.55098545275      All      0.4058898666893467         0.0008895614881154756      -0.3468938477373781        -0.1474022027170202        
Zeropoint     AB|SDSS|SDSS_i                           7088.9878461864055    All      0.46554324452911655        0.05400942479134585        0.5883695543313319         -0.10779387322292451       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5089.301956663771     All      0.025300471218631215       0.03671693713300783        -0.5553040365440216        -0.021061950192884153      
Zeropoint     AB|SDSS|SDSS_r                           5845.745248638628     All      0.5185762423426286         0.14602864433523877        0.15966915695158201        -0.11422570798209221       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4550.609562791482     All      -0.18586889626704284       0.025429243390995282       -0.8914644622701202        0.0290447909860038         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4165.674870121728     All      -0.17616368468191934       0.017061782791039093       -0.6150277686705049        0.03549402708960889        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3404.2900407902653    All      -0.020284131576804185      0.016400808002181577       0.030940289854490707       0.013330214752133874       
Check         All|All|All                              All                   All      0.9948772387319633         0.9987505712659939         0.008665178259343872       0.0016483589431793757      
Lambda        AB|SDSS|SDSS_z                           8428.21562064012      All      -1.0215824871038139e-05    1.3633143638616242e-06     2.253825317113505e-05      4.7774853157476436e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7202.100554613732     All      -3.345676974182653e-05     -3.2490604319020405e-05    -0.0002472131706352704     -1.0717276532321148e-05    
Lambda        AB|SDSS|SDSS_u                           3402.1634943281324    All      -0.00010370047549000693    9.902323437001015e-05      0.0002292280451367672      7.626317656148346e-05      
Lambda        AB|SDSS|SDSS_g                           4473.666887233765     All      -9.374511217668865e-05     -1.7591339984044374e-05    -0.0005412037204116616     6.543526046405938e-07      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5890.55098545275      All      -4.692496206693924e-05     -2.25876944509202e-05      -0.00015053104578000308    1.209939525784566e-06      
Lambda        AB|SDSS|SDSS_i                           7088.9878461864055    All      -0.0002621889433783804     -3.1082515432788815e-05    -0.00041187573856679135    5.689884422213069e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5089.301956663771     All      6.9044232450349535e-06     7.491950049154375e-06      -0.000510635109537318      -2.2595922867261614e-05    
Lambda        AB|SDSS|SDSS_r                           5845.745248638628     All      -9.204797816659467e-05     -1.7936428953932774e-05    -8.80377835723141e-05      2.021184783819377e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4550.609562791482     All      -0.00011172872844773605    1.3542262919495352e-05     -0.0005538865750418569     1.6087469246415962e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4165.674870121728     All      -0.00017581500845469255    1.6661744675615424e-05     -0.0006201507299914439     3.502153196139419e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3404.2900407902653    All      -7.717980136919752e-05     5.893770209780084e-05      9.963880979138344e-05      4.8784371468540036e-05     
MWEBV         All|All|All                              All                   All      -0.8915896166473023        -3.6732081037960107        0.4662553349651201         -0.8852578196281716        
Redshift      All|All|All                              All                   All      5.615754622436326          0.853356954552531          5.291839540025752          -1.3151191045277744        
