#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|SDSS|SDSS_z 8428.21562064012 All -0.1371326859927215 0.019226471291736047 -1.0725002361811935 0.0030705618656788336
Zeropoint Linear_AB11_off|SWOPE|SWOPE_i 7202.100554613732 All 0.08608443786024983 -0.011658364815145816 -0.8031271599579402 -0.06767792299336595
Zeropoint AB|SDSS|SDSS_u 3402.1634943281324 All 0.180696307410807 0.5901477671244582 0.4216420360220958 0.15218775851748478
Zeropoint AB|SDSS|SDSS_g 4473.666887233765 All -0.31294613696751766 0.7200401959570097 -2.264812651511556 0.23540944614574733
Zeropoint Linear_AB11_off|SWOPE|SWOPE_r 5890.55098545275 All -0.10917218330176964 -0.10642682907114587 -2.554661824879279 -0.11310857191460505
Zeropoint AB|SDSS|SDSS_i 7088.9878461864055 All 0.2335529735309248 0.17345282506656723 0.36186974409803163 -0.0034280109195202746
Zeropoint Linear_AB11_off|SWOPE|SWOPE_V-LC-3014 5089.301956663771 All -0.34785933841846445 -0.06312358829297704 -2.760462964361695 -0.03043898240783871
Zeropoint AB|SDSS|SDSS_r 5845.745248638628 All -0.21541599787681776 0.6965248151146302 -2.507226172755857 0.18516313593612233
Zeropoint Linear_AB11_off|SWOPE|SWOPE_g 4550.609562791482 All -0.5792281499759686 -0.046100543976068664 -2.680263607720768 0.05404934584435006
Zeropoint Linear_AB11_off|SWOPE|SWOPE_B 4165.674870121728 All -0.7164907684120212 -0.01983472792689156 -2.6882981281239804 0.1069573931375063
Zeropoint Linear_AB11_off|SWOPE|SWOPE_u 3404.2900407902653 All -0.2184977811969288 -0.023959992554860143 -1.1825815951089824 0.010594172674963542
Check All|All|All All All -2.136409323340228 1.9282880279173122 -17.73042256048112 0.5327783258865232
