#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           7584.820200007093    All      0.25189723723372404        -0.023928411159346297     0.07238512714597983       -0.08661527230425768      
Zeropoint     AB|MEGACAMPSF|g           4212.038367827769    All      -1.0032219740928503        0.682650605996038         -0.49311247667069663      0.5271388178452778        
Zeropoint     AB|MEGACAMPSF|i           6579.844987612841    All      1.044343194805943          -0.1920353614103476       -0.6471864974570899       -0.4316101323673981       
Zeropoint     AB|MEGACAMPSF|r           5379.197945244878    All      0.7045887552674241         0.5320013712180938        1.0702654150526802        -0.008456359018603646     
Check         All|All|All               All                  All      0.9976072132142411         0.9986882046444379        0.0023515680708734443     0.00045705415501839583    
Lambda        AB|MEGACAMPSF|z           7584.820200007093    All      -4.1017780809239466e-05    6.397812106702342e-06     1.2636451601951927e-05    1.600872533726685e-05     
Lambda        AB|MEGACAMPSF|g           4212.038367827769    All      -0.0006335754093907712     0.0002403661772617592     -0.0014561552861301053    0.00021969000405625604    
Lambda        AB|MEGACAMPSF|i           6579.844987612841    All      -0.0003424632823344171     0.00010434732406816074    0.0003539280742796174     0.00016133509855989752    
Lambda        AB|MEGACAMPSF|r           5379.197945244878    All      0.0002202129044195678      0.00014380338980657855    0.0005362813056299971     -9.57321088495e-07        
MWEBV         All|All|All               All                  All      -0.5559647396474103        -3.3993309580662157       0.030564076350390237      -0.9248139869572646       
Redshift      All|All|All               All                  All      4.151038515136538          -1.0681365182930946       -8.991143911375588        -2.1012904720808105       
