#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           7584.820200007093    All      0.3178203052447349         -0.0322542607425369        0.07132118490466022       -0.11084806633724215      
Zeropoint     AB|MEGACAMPSF|g           4212.038367827769    All      -1.005461805583919         0.6840020225972521         -0.3400619358478518       0.5351385481987021        
Zeropoint     AB|MEGACAMPSF|i           6579.844987612841    All      1.0174750358298632         -0.1273607107222796        -0.03519186991165213      -0.3744811181531072       
Zeropoint     AB|MEGACAMPSF|r           5379.197945244878    All      0.6206554500104916         0.43749590903328084        0.16041878715274405       -0.052502334572405475     
Check         All|All|All               All                  All      0.9504889855011706         0.9618829601657164         -0.1435138337020997       -0.002692970864052714     
Lambda        AB|MEGACAMPSF|z           7584.820200007093    All      -7.393608445212317e-05     -1.767805904464392e-05     -0.0002488870831147848    7.218402286890467e-06     
Lambda        AB|MEGACAMPSF|g           4212.038367827769    All      -0.0006992605881588474     0.00018137711929116284     -0.0017789534831208834    0.00020746614992262188    
Lambda        AB|MEGACAMPSF|i           6579.844987612841    All      -0.00032275540530758695    3.5877451507408876e-05     -0.0002660663414701423    0.00010494520131387177    
Lambda        AB|MEGACAMPSF|r           5379.197945244878    All      0.00016758568262278758     -2.5220562645337692e-05    -0.0005020869253684436    -8.52091706982417e-05     
MWEBV         All|All|All               All                  All      -0.5846528941976947        -3.462317266243886         -0.5169126161963078       -0.9604173942883015       
Redshift      All|All|All               All                  All      4.407924747233367          0.019068371824104702       -2.0826067994763164       -1.5225320869503316       
