#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           6083.9572051353625    All      1.2899258943189942         -0.1463892207521411        -0.814353631957726         -0.5041959487457146       
Zeropoint     AB|MEGACAMPSF|z           7016.022772481936     All      0.47663791421352336        -0.025977193625692507      0.30146785827982053        -0.1502651502458894       
Zeropoint     AB|MEGACAMPSF|g           3899.4332486701715    All      -0.7313169174070118        0.37253327334827446        -0.3870483991103263        0.3422881303182969        
Zeropoint     AB|MEGACAMPSF|r           4977.262776511615     All      -0.040940700559159215      0.7993032124328892         0.9007631262565097         0.3138920069345897        
Check         All|All|All               All                   All      0.9943061905663464         0.99947007140333           0.0008289534682778266      0.0017190382612826127     
Lambda        AB|MEGACAMPSF|i           6083.9572051353625    All      -0.00019855922224431058    -4.7565133070334435e-07    -0.00011185489791615232    5.953076543944442e-05     
Lambda        AB|MEGACAMPSF|z           7016.022772481936     All      -0.00024383596138411985    1.0693918683477662e-05     -0.00019332171814705892    7.428169533597734e-05     
Lambda        AB|MEGACAMPSF|g           3899.4332486701715    All      -0.0008874844769765648     0.0004285376155493832      -0.000580909394925669      0.00040274837310134574    
Lambda        AB|MEGACAMPSF|r           4977.262776511615     All      -7.217859588814671e-05     -7.089498613316223e-05     -0.0011662603094655761     -5.162672724488582e-05    
MWEBV         All|All|All               All                   All      -0.49030156144565273       -3.034441069373628         0.03333493282069777        -0.8272223524858436       
Redshift      All|All|All               All                   All      6.889720992204427          -0.754712389988299         -0.063436223999316         -2.4928743142933656       
