#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           6083.9572051353625    All      1.2856985398584109         -0.25309461685054657       -1.4487213452309522       -0.5658853358324424       
Zeropoint     AB|MEGACAMPSF|z           7016.022772481936     All      0.4543592169915587         -0.0189636599419174        0.42461043397414855       -0.13522841937427288      
Zeropoint     AB|MEGACAMPSF|g           3899.4332486701715    All      -0.7965319554199098        0.35087278657037757        -0.5671879063013474       0.3484364817026068        
Zeropoint     AB|MEGACAMPSF|r           4977.262776511615     All      0.06820659951017749        0.8874509358854255         1.4935410917416458        0.33350471203382853       
Check         All|All|All               All                   All      1.011732400940237          0.966265445663339          -0.09775772581650521      -0.019172561470279903     
Lambda        AB|MEGACAMPSF|i           6083.9572051353625    All      -0.00033629452668082705    -4.6658538445096364e-05    -0.0005889961891994602    6.805977534703734e-05     
Lambda        AB|MEGACAMPSF|z           7016.022772481936     All      -0.0002303332366410714     1.7745596984210961e-06     -0.000257814507908738     6.410006799869557e-05     
Lambda        AB|MEGACAMPSF|g           3899.4332486701715    All      -0.0009141359729340909     0.0003460752454609574      -0.0008932372614586378    0.00037063117706033055    
Lambda        AB|MEGACAMPSF|r           4977.262776511615     All      -0.00012178989328277961    -0.00010989440984155108    -0.0014533051575292325    -6.097958408478057e-05    
MWEBV         All|All|All               All                   All      -0.4848881944987542        -3.041619373030713         0.018874588486150756      -0.8319691726089109       
Redshift      All|All|All               All                   All      6.8018614368301895         -0.6139145759616937        0.18957956304632706       -2.4071021539591326       
