#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5345.2314800349695    All      0.5594353833653678         0.4359754174283026        0.06177119271135738        -0.037458407992055145     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4359.254635518952     All      -1.166237344950705         0.7853069910990662        -0.14471240557889817       0.6292243441320724        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6341.193880062321     All      1.2638812122940164         -0.14792479741299047      0.028856076029920102       -0.4585839502576247       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7860.715456106368     All      0.3413568919466628         -0.07522750497468422      0.05465908169818164        -0.13325605952074793      
Check         All|All|All                       All                   All      0.998436142655342          0.9981301061396941        0.0005739448605609557      -7.407363835537639e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5345.2314800349695    All      6.223320684643124e-05      3.0421106849905743e-05    -0.0008974760510163461     -5.041248175432083e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4359.254635518952     All      -0.00039394935332847324    0.00013193254379063063    -0.0008230602898894872     0.00013456763433363002    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6341.193880062321     All      -0.00039794142639206685    1.335630585486793e-05     -0.00046233432301043617    0.00011334134527508309    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7860.715456106368     All      -1.3845526489529294e-06    4.79434385566519e-06      5.8548068789632034e-05     4.625401279738668e-06     
MWEBV         All|All|All                       All                   All      -0.8479986178176517        -4.044098328299839        0.009008390821637458       -1.0406728211529717       
Redshift      All|All|All                       All                   All      3.2216864487049075         -0.09645836542500064      -1.8142236044268396        -1.1617893967219497       
