#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5345.2314800349695    All      0.5855444111420862         0.3699811972614597        -0.19622836088482032      -0.0789728010820348       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4359.254635518952     All      -1.1422870454310634        0.8156920492836228        0.006031795517991156      0.638047378078388         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6341.193880062321     All      1.2711804539662126         -0.13290040466795716      0.07660142136156622       -0.4539369589275685       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7860.715456106368     All      0.2854304555238777         -0.05540051361130338      0.11584087505318585       -0.10585041343742496      
Check         All|All|All                       All                   All      0.999868275201113          0.997372328265822         0.0022457310479229164     -0.0007127953686402733    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5345.2314800349695    All      2.533165693443657e-05      5.833194814401215e-05     -0.0009581913607364962    -3.201039909163662e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4359.254635518952     All      -0.00044490985713215394    0.00018449363128216712    -0.0009227875980415014    0.00016383765064580957    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6341.193880062321     All      -0.000262348122935886      2.3523387350814247e-05    -0.0001317330275585866    8.723911580168531e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7860.715456106368     All      -2.796881863384498e-06     1.7319620290847625e-06    2.4545095500463616e-05    2.570528330955302e-06     
MWEBV         All|All|All                       All                   All      -0.8463392055361041        -4.043399772318157        0.028274714771336917      -1.0401260361102214       
Redshift      All|All|All                       All                   All      3.0709801307338167         -0.45176137186073717      1.1029633646048698        -1.098252612913253        
