#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6045.469767689786    All      0.7363626541720677         0.14486118420664607        -2.7201185602012456        -0.3140578868771962        
Zeropoint     AB|PS|PS_g                4760.46687901435     All      -0.94575660683367          1.1534708094251611         0.9643381123028538         0.72682141291346           
Zeropoint     AB|PS|PS_i                7322.373196571359    All      0.9649940666631371         -0.23492244381018157       1.7288740230512079         -0.313700576324203         
Zeropoint     AB|PS|PS_z                8415.193511897483    All      0.2796382922971783         -0.07991275698280287       0.18755721894233024        -0.10874778836641105       
Check         All|All|All               All                  All      1.035238406298713          0.9834967928388227         0.16065079409514627        -0.009684838654350242      
Lambda        AB|PS|PS_r                6045.469767689786    All      -6.819349138303768e-05     -3.4495129957047925e-05    -0.0003335051541694336     -3.906138337206074e-06     
Lambda        AB|PS|PS_g                4760.46687901435     All      -0.00012933525689581463    0.00010897169847969995     0.0008820149090506076      0.00011698468987473872     
Lambda        AB|PS|PS_i                7322.373196571359    All      -0.0003106465647700268     1.038096946253908e-05      -0.002876494558430974      -2.379551148940638e-05     
Lambda        AB|PS|PS_z                8415.193511897483    All      0.00023868616684395027     -7.920256283109922e-05     -0.00013949170194490598    -0.00010977169147931649    
MWEBV         All|All|All               All                  All      -0.6634742772172553        -4.047770765594905         0.07888282331909302        -1.09885652820291          
Redshift      All|All|All               All                  All      4.497562847441917          0.3001822078442906         -0.7741848313092436        -1.4017732773573266        
