#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6045.469767689786    All      1.0031441191804786         0.04469820363830479        -0.8391537186140192       -0.34964494299423277       
Zeropoint     AB|PS|PS_g                4760.46687901435     All      -1.0458207326453224        1.1886448476110978         0.2768571461803425        0.7401938140987385         
Zeropoint     AB|PS|PS_i                7322.373196571359    All      0.7605540849304775         -0.16034791778549717       0.36034770523093496       -0.2838874159932692        
Zeropoint     AB|PS|PS_z                8415.193511897483    All      0.281242314464194          -0.07422905825231751       0.20859057441574716       -0.10648028144024566       
Check         All|All|All               All                  All      0.9991197859298276         0.9987660752115879         0.0066417072130054156     0.00018117367099088066     
Lambda        AB|PS|PS_r                6045.469767689786    All      -0.00014148941123266382    -5.585558144964014e-06     -0.0004328137787167214    2.495386495228306e-05      
Lambda        AB|PS|PS_g                4760.46687901435     All      -3.612126894910717e-05     -8.173872755706738e-05     0.00017486871436994173    -7.055519459048273e-06     
Lambda        AB|PS|PS_i                7322.373196571359    All      -0.00015585399891794414    -1.4434844051117593e-05    -0.0014712920024906033    -1.9592133379278865e-05    
Lambda        AB|PS|PS_z                8415.193511897483    All      0.00023327989330616518     -6.334085888616609e-05     7.190165639882134e-05     -9.341049682921589e-05     
MWEBV         All|All|All               All                  All      -0.6879159898770517        -4.0301642394130255        0.0927472145818848        -1.0845413293609953        
Redshift      All|All|All               All                  All      4.18321541800932           1.1277004512901811         1.4933882552881859        -0.928638689167641         
