#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6041.140710569512    All      1.2673584794124189         -0.04561529829842925      0.0387009830763487         -0.42595170782716235       
Zeropoint     AB|PS|PS_i                7317.129770825796    All      0.5967059216071635         -0.12821920178467394      0.14858888209134047        -0.22950112265319994       
Zeropoint     AB|PS|PS_g                4757.057990403481    All      -1.1638939625097378        1.2263592160508097        -0.14030394313806557       0.7723229766614438         
Zeropoint     AB|PS|PS_z                8409.167536284163    All      0.2996042124637539         -0.053232922123847004     -0.045750489638180986      -0.11697229696027091       
Check         All|All|All               All                  All      0.9997746509735985         0.9992917938438595        0.001235432391442609       -0.00010215077918941662    
Lambda        AB|PS|PS_r                6041.140710569512    All      -0.0003300088004700867     7.537928984105797e-05     -0.0012630042781228363     7.568615772257855e-05      
Lambda        AB|PS|PS_i                7317.129770825796    All      -0.00016211345338337565    4.9123755415758766e-05    -0.001029757118991663      2.2853577686409308e-05     
Lambda        AB|PS|PS_g                4757.057990403481    All      -0.0003385266989427029     -6.56360845803339e-05     -0.00047055125185713393    6.789090972571388e-05      
Lambda        AB|PS|PS_z                8409.167536284163    All      0.00036889351490401425     -6.959093265242042e-05    -0.00014418638206613953    -0.00014926318628648072    
MWEBV         All|All|All               All                  All      -0.7075331315610116        -4.012012017880018        -0.02993559408299375       -1.0777133754750412        
Redshift      All|All|All               All                  All      6.608142242638106          0.18808491636050917       11.816500241704446         -1.5639077502163152        
