#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6041.140710569512    All      1.2873501974908743         -0.09424227753402903      0.42995384198394326       -0.43084325689677627       
Zeropoint     AB|PS|PS_i                7317.129770825796    All      0.6089077452184218         -0.13140319586559812      0.19078367088485315       -0.23262983002371174       
Zeropoint     AB|PS|PS_g                4757.057990403481    All      -1.1663113575461856        1.2777372797976305        -0.372622455719851        0.7794786191889891         
Zeropoint     AB|PS|PS_z                8409.167536284163    All      0.2706683236483199         -0.05483164214634684      -0.24038614988044493      -0.11675337730563118       
Check         All|All|All               All                  All      1.0006149088114307         0.9972601642516565        0.007728907268500507      -0.0007478450371301015     
Lambda        AB|PS|PS_r                6041.140710569512    All      -0.00024160151357753952    2.6977611325801358e-05    -0.0014900384680136618    2.0991483643475318e-05     
Lambda        AB|PS|PS_i                7317.129770825796    All      -0.00028056948426460665    7.848167460590907e-05     -0.001884637260590439     3.2852069762093024e-05     
Lambda        AB|PS|PS_g                4757.057990403481    All      -0.0005434957404937258     0.00023634423994294077    -0.0008964862496258912    0.00021401347369313334     
Lambda        AB|PS|PS_z                8409.167536284163    All      0.00031171959017164323     -6.212702493570482e-05    -0.00046025335765913      -0.00014231313521389214    
MWEBV         All|All|All               All                  All      -0.7189494273843886        -4.008227542941789        -0.1300747132756186       -1.0772307333147102        
Redshift      All|All|All               All                  All      6.379727777218992          -0.8291131142062369       15.231072557779024        -1.6684638276903918        
