#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7857.951579927275    All      0.11851391629515579       -0.002103398876585061      0.11434710813947868        -0.03418624148424504      
Zeropoint     AB|SDSS|SDSS_r            5450.214515145909    All      0.7589724769579443        0.1863464483093935         -1.5161504860270791        -0.254181969131681        
Zeropoint     AB|SDSS|SDSS_g            4170.972761840303    All      -0.9222344634661583       0.7035640137138088         -0.23674829427540178       0.5190110621707613        
Zeropoint     AB|SDSS|SDSS_u            3171.968683377871    All      -0.13936556647702808      0.0960994635827106         0.5742028361288898         0.1023227422180445        
Zeropoint     AB|SDSS|SDSS_i            6609.337700094929    All      1.1753773168148454        0.01946558696346301        1.1039802245490615         -0.32725291175510135      
Check         All|All|All               All                  All      0.9912636801247593        1.003372113692791          0.03963138851494907        0.005712682017778414      
Lambda        AB|SDSS|SDSS_z            7857.951579927275    All      -8.546003077174065e-06    7.398948891797792e-07      -2.0230797855870718e-05    2.1219148729965983e-06    
Lambda        AB|SDSS|SDSS_r            5450.214515145909    All      0.00022066869569668888    4.9397166074149e-05        -0.00015079711959424012    -6.251815472539114e-05    
Lambda        AB|SDSS|SDSS_g            4170.972761840303    All      -0.0005092531614017962    0.00033433287159966664     -0.0011889254757633239     0.00022172744065859527    
Lambda        AB|SDSS|SDSS_u            3171.968683377871    All      -6.40026060520001e-05     2.727172973782878e-05      0.00010616926784282339     3.446890080921684e-05     
Lambda        AB|SDSS|SDSS_i            6609.337700094929    All      -0.0003829876005013395    -2.0400769783283958e-05    -0.0006096827989321813     9.089911637275139e-05     
MWEBV         All|All|All               All                  All      -0.6672707846432222       -3.4807099224607896        0.26937207048297607        -0.9044088482610423       
Redshift      All|All|All               All                  All      3.356046586848238         -0.1417468657709975        4.444328173825595          -0.9410164471677945       
