#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7857.951579927275    All      0.10551952413380758        0.00017692579348249637    0.1371471618828126        -0.028193302007289825      
Zeropoint     AB|SDSS|SDSS_r            5450.214515145909    All      0.7146322670945848         0.2733768059854924        -0.9909821052599194       -0.18795440049827405       
Zeropoint     AB|SDSS|SDSS_g            4170.972761840303    All      -0.7464568759512644        0.6117601557029673        -0.6081875608099816       0.41527535368835966        
Zeropoint     AB|SDSS|SDSS_u            3171.968683377871    All      -0.09134130753594275       0.06917260282577331       0.3683853239339716        0.06872400643018572        
Zeropoint     AB|SDSS|SDSS_i            6609.337700094929    All      1.0110841211801127         0.04617944801399432       1.11271560137258          -0.2646458096996987        
Check         All|All|All               All                  All      0.993437728921298          1.0006659383217098        0.01907842111946345       0.003205847913282822       
Lambda        AB|SDSS|SDSS_z            7857.951579927275    All      -3.5088626280453132e-06    3.437680859802753e-07     -5.652972679844407e-06    1.0026623638068094e-06     
Lambda        AB|SDSS|SDSS_r            5450.214515145909    All      0.0001665894968607688      6.350540594809053e-05     2.5844486967043517e-05    -3.2424559022212804e-05    
Lambda        AB|SDSS|SDSS_g            4170.972761840303    All      -0.0005157208909197018     0.00028130659269467377    -0.0017607655940662956    0.00018104319127924858     
Lambda        AB|SDSS|SDSS_u            3171.968683377871    All      -5.937846129861091e-05     4.45315753520639e-05      0.00023502397961211184    4.433495825978311e-05      
Lambda        AB|SDSS|SDSS_i            6609.337700094929    All      -0.0002961056426405853     -1.589919008737813e-05    -0.0002887599324203767    7.83864305575295e-05       
MWEBV         All|All|All               All                  All      -0.7708182734242017        -3.4036758161537506       0.6351598494499936        -0.829264053210065         
Redshift      All|All|All               All                  All      2.5109938029188754         -0.4316938360098277       -2.2707547264810604       -1.0598635297904262        
