#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|LOSS|LOSS_K3_B 4325.333211168515 All -0.9156171337971778 0.6199160370908734 -0.11714551541244411 0.4949460049760737
Zeropoint Linear_AB11_off|LOSS|LOSS_K3_R 6325.0970575094025 All 1.1886136060767045 -0.17337606513227488 0.1347052155398547 -0.43763356895114636
Zeropoint Linear_AB11_off|LOSS|LOSS_K3_I 7820.903369600124 All 1.077008744416667 0.1325960756282072 3.267177265466316 -0.16182716072298842
Zeropoint Linear_AB11_off|LOSS|LOSS_K3_V 5331.284335812436 All -1.2540279806783068 0.8107484509581395 -4.225711589575192 0.4839915126594935
Check All|All|All All All 0.09597723601788699 1.3898844985449452 -0.9409746239814654 0.3794767879614324
