#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4325.333211168515     All      -0.9583247267490481        0.7220046529385904        0.2787064816124744         0.5597759503806344        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6325.0970575094025    All      1.3264474994859519         -0.23110465422764292      -0.23168301454220738       -0.5176849272657581       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7820.903369600124     All      0.49877998996829925        -0.1522586482991528       0.4733887162299142         -0.1909395388091055       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5331.284335812436     All      0.12919593248779004        0.6608076979706112        -0.5228583159326856        0.14983067628665905       
Check         All|All|All                       All                   All      0.9960986951929931         0.9994490483824059        -0.002446132632504372      0.0009821605924298926     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4325.333211168515     All      -0.000942982022154129      0.0007099709804620675     0.00030031177323378445     0.0005518227086479561     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6325.0970575094025    All      -0.00014544920486620353    -4.734462044666986e-05    -0.00014344418556031145    2.555463550415994e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7820.903369600124     All      -0.00010222775282967393    3.011820858499617e-05     -9.191191150122855e-05     3.900782721140123e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5331.284335812436     All      -0.00010497671980063333    0.0007093026345544841     -0.0020056752461971696     0.00017573350020394306    
MWEBV         All|All|All                       All                   All      -0.7978241731015618        -4.058079819059657        0.10052687140862784        -1.0574864705456395       
Redshift      All|All|All                       All                   All      5.897059152772083          -4.281640356282601        0.7190221783395561         -3.283450641896471        
