#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  LOSS
@BAND  LOSS_K3_V
@MAGSYS  Linear_AB11_off
52846.45  18.129  0.043
52848.35  17.975  0.031
52849.44  17.955  0.04
52852.44  17.902  0.031
52853.44  17.918  0.037
52854.4  17.985  0.035
52855.37  17.956  0.033
52857.37  18.165  0.027
52858.38  18.14  0.039
52859.35  18.321  0.04
52860.32  18.389  0.061
52861.37  18.506  0.049
52863.3  18.611  0.097
52866.47  18.836  0.091
52868.37  19.101  0.068
52871.34  19.303  0.124
52876.33  19.47  0.094
52880.37  19.765  0.106
