#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6135.624399670777    All      2.954849193929086         -0.9599773841994619        -0.9404523156581239       -1.3171558779718928        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5123.690466473492    All      -1.95764396712603         1.965032717238202          0.946570631922828         1.3199859481881626         
Check         All|All|All                            All                  All      0.9972052268030562        1.0050553330387402         0.006118316264704049      0.0028300702162697977      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6135.624399670777    All      6.979834115849803e-05     -0.00012826449356396818    -0.001480726202244344     -0.00013059359101952488    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5123.690466473492    All      -0.0010409237346367785    0.0005527939166077456      -0.0025880825604737696    0.0004036320327230025      
MWEBV         All|All|All                            All                  All      -0.49526525644189734      -2.9062106970435764        -0.018540170496458667     -0.7861516104103239        
Redshift      All|All|All                            All                  All      6.470711512290947         -2.5275616264442746        2.3314152517547115        -2.8269932407963605        
