#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7394.78185861402      All      0.4372177031458301         -0.0618577455484548        0.20983688686047053       -0.1532012362196744        
Zeropoint     AB|CNIa02|SDSS_g                      4666.645148361369     All      -0.45278897093650716       0.4689210168581148         0.13546533668826188       0.3062764621892228         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5408.2197788558       All      0.6369141803433005         0.20265047637595401        -0.22831152356629358      -0.15164246993352726       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4322.9355276397755    All      -0.7861619195203504        0.49150766287882064        -0.09818245007733872      0.41179758525686505        
Zeropoint     AB|CNIa02|SDSS_r                      6097.910146364123     All      1.1645372771491336         -0.10455187482127926       -0.017784428747313896     -0.4141777259637769        
Check         All|All|All                           All                   All      0.9997182701814067         0.9966695357431554         0.0010238211577862089     -0.0009473846708907274     
Lambda        AB|CNIa02|SDSS_i                      7394.78185861402      All      -4.257727155050335e-05     -2.4559302482955617e-05    -0.0002937581091566476    -7.240029930590553e-06     
Lambda        AB|CNIa02|SDSS_g                      4666.645148361369     All      6.93078199465046e-05       -4.809629933499304e-05     -0.0003658954625760558    -5.457061812847469e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5408.2197788558       All      -2.4746093357592378e-05    5.070972200818782e-06      -0.0009490425253719911    -3.263900990799727e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4322.9355276397755    All      -0.0004502673681699667     0.00013092925983578617     -0.0007077083319041439    0.00015773309007650983     
Lambda        AB|CNIa02|SDSS_r                      6097.910146364123     All      -2.298256258824283e-05     -4.088893819330071e-05     -0.0004320579520380042    -2.5113457665884193e-05    
MWEBV         All|All|All                           All                   All      -0.8674486231765028        -4.048082363312222         0.027465832399775625      -1.0348113749501466        
Redshift      All|All|All                           All                   All      4.1243165046902295         -0.0157930685744212        3.469896368028094         -1.1937243553240398        
