#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7394.78185861402      All      0.4707177120404632        -0.06648994285036736       0.20536422378979674       -0.16582174470085617       
Zeropoint     AB|CNIa02|SDSS_g                      4666.645148361369     All      -0.5388177965099613       0.5283884603119127         0.06986302362010932       0.35074185376476513        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5408.2197788558       All      0.6315586331812157        0.19042997464255862        -0.13360052245786191      -0.14965209450012515       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4322.9355276397755    All      -0.7382570995247377       0.4485831407061269         -0.10999297406061811      0.3816844308744495         
Zeropoint     AB|CNIa02|SDSS_r                      6097.910146364123     All      1.1738219372625684        -0.10374425257904107       -0.02998610586111949      -0.417483480894001         
Check         All|All|All                           All                   All      0.9990233864495487        0.9971673802311898         0.0016476450303065417     -0.0005310354557677144     
Lambda        AB|CNIa02|SDSS_i                      7394.78185861402      All      -6.364506266950644e-05    -1.920062352229543e-05     -0.0002929556042039443    1.4037528896647033e-06     
Lambda        AB|CNIa02|SDSS_g                      4666.645148361369     All      -7.22382086254362e-05     -3.4344840750458594e-05    -0.000377296346376864     -4.4938865077044855e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5408.2197788558       All      6.24700181710552e-05      -2.82823024249384e-05      -0.0008954239721948446    -6.951967582628252e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4322.9355276397755    All      -0.0003247256962615443    7.14843060960257e-05       -0.0007247978380535158    9.671423405349784e-05      
Lambda        AB|CNIa02|SDSS_r                      6097.910146364123     All      -8.808430361511418e-05    -3.1240108368496006e-05    -0.0004151558910122709    -1.0476163538417854e-08    
MWEBV         All|All|All                           All                   All      -0.87824856907155         -4.0434099464210504        0.030320913251369503      -1.0296441082195644        
Redshift      All|All|All                           All                   All      4.260780295240057         0.27097969043827774        3.3245668050292427        -1.1512491701996002        
