#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3917.2259712037       All      -1.161681073234832        0.6788019452333316        0.1531289779298388        0.6063393121969223         
Zeropoint     AB|SDSS|SDSS_z            7379.902427310749     All      0.13951282849648974       -0.011828778302458431     0.32921454451133936       -0.03460560723156179       
Zeropoint     AB|SDSS|SDSS_r            5118.643315700073     All      0.9227959480486748        0.30454759967710743       -2.4615546664039685       -0.31123170608107853       
Zeropoint     AB|SDSS|SDSS_i            6207.2496680233335    All      1.1030365706571847        0.027122929979661592      2.023716143521962         -0.2601513123827408        
Check         All|All|All               All                   All      1.0036642739675175        0.9986436965876422        0.044504999559171754      0.0003506865015411309      
Lambda        AB|SDSS|SDSS_g            3917.2259712037       All      -0.0010002455700640837    0.0003997798295407828     -0.0009022312962027297    0.00041577189316778263     
Lambda        AB|SDSS|SDSS_z            7379.902427310749     All      -5.081901180757477e-05    4.989081913016375e-06     -0.0004309286940957972    -1.0518362770466036e-06    
Lambda        AB|SDSS|SDSS_r            5118.643315700073     All      5.803777575271883e-06     -6.176607068578497e-06    -0.000638663267022222     -3.240301375436313e-05     
Lambda        AB|SDSS|SDSS_i            6207.2496680233335    All      -5.494382378183679e-05    -1.701704712331646e-05    -0.0001648148662743078    4.999068397048913e-06      
MWEBV         All|All|All               All                   All      -0.5849249918653103       -3.19336069888152         0.04339681199714493       -0.847716724355896         
Redshift      All|All|All               All                   All      4.588729331547783         0.29930575926435665       1.9996285139515735        -1.3079721387205407        
