#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5108.4172116315885    All      0.28760324240610025        0.1347417107744775        -7.1208312439274835       -0.3675620234689538       
Zeropoint     AB|SDSS|SDSS_i            6194.848729499335     All      0.9990739091231837         0.07912017007827288       1.6206032825157646        -0.22733911704894172      
Zeropoint     AB|SDSS|SDSS_z            7365.158745131242     All      0.1121741841798841         0.008642501173738992      -0.004582447737055961     -0.03392816884238495      
Zeropoint     AB|SDSS|SDSS_g            3909.4000771199235    All      -0.38167378393550644       0.7935691723885085        5.370058803741262         0.6224563558425303        
Check         All|All|All               All                   All      1.0171775517736614         1.016073554414998         -0.1347516054075122       -0.006372953517750024     
Lambda        AB|SDSS|SDSS_r            5108.4172116315885    All      -0.0003820742096524092     -6.721571933826988e-05    -0.0017919906534709924    2.2591456282935918e-05    
Lambda        AB|SDSS|SDSS_i            6194.848729499335     All      -0.00015478022123548916    -3.292955381754595e-05    0.00024446973747312535    5.060033272044345e-05     
Lambda        AB|SDSS|SDSS_z            7365.158745131242     All      -0.00013814213659119263    -1.656405104474593e-05    -0.0009853480020366218    -4.369573528524596e-06    
Lambda        AB|SDSS|SDSS_g            3909.4000771199235    All      -0.0004976094576853647     0.0003050112639290321     0.0017367904861139865     0.00033894495707231695    
MWEBV         All|All|All               All                   All      -0.5783325862137372        -3.1852924088287438       0.04042231511323102       -0.8473687183858286       
Redshift      All|All|All               All                   All      5.3811893002482885         0.2045904887314265        4.6291010639636365        -1.479613018160861        
